name,alternate_name,x-status,x-verification,Service Area,phones,url,description,services,email,locations,contacts,x-website rating,x-logo,legal_status,x-status_last_modified
Meridian School District,,Vetted,,Whatcom County,,https://www.meridian.wednet.edu,Public school district for the Meridian region of Whatcom County.,"Meridian Readiness to Learn,Meridian Transitional Kindergarten,Developmental Preschool (MSD)",,,,,,,3/23/2022 10:20am
Mount Baker School District,,Vetted,,Whatcom County,,https://www.mtbaker.wednet.edu,Public school district for Eastern Whatcom County.,"Mt. Baker Family Services,Mt. Baker Educational Resource Center,McKinney-Vento Program (MBSD),Child Find Screenings (MBSD)",,,,,,,3/23/2022 10:30am
Nooksack Food Bank ,,Vetted,,Whatcom County,(360) 592-0135,,Provides food to anyone in need on the first Friday of each month. Located behind the Social Services building.,Nooksack Food Bank,,Nooksack Food Bank,,,,,3/23/2022 10:58am
Nooksack Indian Health Department,Nooksack Tribal Health Center,Vetted,Nooksack Indian Health Department,Whatcom County,(360) 966-2106,https://nooksacktribe.org/departments/health/,"An innovative ambulatory health care center that serves members of the Nooksack Indian Tribe and the Tribal Member community. Also provides community health prevention and education services to ensure patients receive health care to the fullest extent including, Medical, Dental, Community Health/Health Nursing, Mental Health Counseling, Chemical Dependency Counseling, Chemical Dependency Prevention and Contract Health Services.","Nooksack Tribal Clinic,Nooksack Tribal Dental Clinic,Nooksack Behavioral Health,Nooksack Genesis II Chemical Dependency Program,Nooksack WIC Program",,"Nooksack Indian Health Department,Nooksack Behavioral Health",,5,,,3/31/2022 3:32pm
Nooksack Valley Food Bank ,,Vetted,,Whatcom County,,https://www.facebook.com/NooksackValleyFoodBank/,"Provides produce, canned goods, breads, meat, and dairy items. No ID or proof of address required. Income guidelines are currently 400% of Federal Poverty Level.",Nooksack Valley Food Bank,,"Nooksack Valley Food Bank Everson,Nooksack Valley Food Bank Sumas",,,,,3/23/2022 10:46am
Nooksack Valley School District,,Vetted,,Whatcom County,,https://www.nv.k12.wa.us,"Public school district for Everson, Nooksack, and Sumas, WA.","Nooksack Valley Early Childhood Program,McKinney-Vento Program (NVSD),Child Find Screenings (NVSD)",,,,,,,3/23/2022 10:35am
Opportunity Council,,Vetted,Opportunity Council,Whatcom County,(360) 734-5121,https://www.oppco.org,"A private, non-profit Community Action Agency serving homeless and low-income families and individuals. ","Early Head Start,Head Start,Child Care Aware of NW Washington,Single Entry Access to Services,Early Support for Infants and Toddlers (Opportunity Council),Child Care Nutrition Program,Emergency Child Care Voucher,Kinship Care,Opportunity Council Community Resource Center,East Whatcom Regional Resource Center,Basic Food Outreach,Opportunity Council Homeless Housing Programs,Whatcom Homeless Service Center,Homeless Outreach Team,Rental Assistance (Opportunity Council),Basic Food Employment and Training Program (Opportunity Council),Foundational Community Support Employment Program ,Financial Literacy and Renters Education,On the Money,Energy Assistance (Opportunity Council),Weatherization Program,Weatherization Plus Health Program,Home Repair Loan,City of Bellingham Mobile Home Repair,Conservation Education,Supportive Services for Veteran Families,Whatcom Volunteer Center,Needs Based Ferry Passes,WTA Bus Passes (Opportunity Council),Maple Alley Inn",,Opportunity Council Community Resource Center,,5,,,3/30/2022 11:40am
PeaceHealth,,Vetted,PeaceHealth,Whatcom County,,https://www.peacehealth.org,"A not-for-profit healthcare system with medical centers, critical access hospitals and medical clinics located in Washington, Oregon and Alaska.","PeaceHealth Pediatrics,PeaceHealth Family Medicine,PeaceHealth Behavioral Health,PeaceHealth Immediate Primary and Urgent Care,PeaceHealth Nutrition Services,PeaceHealth Primary Care,Pregnancy and Childbirth Care at PeaceHealth,PeaceHealth Women's Health,PeaceHealth Emergency Medicine",,"St. Joseph Medical Center,PeaceHealth at Cordata Main",,5,,,5/10/2022 4:20pm
Project Hope Lynden ,,Vetted,Project Hope,Whatcom County,(360) 354-4673,https://www.projecthopelynden.org,"A food bank and Community Assistance Program that helps Lynden community members with short-term, emergency assistance.

","Project Hope Food Bank,Project Hope Community Assistance",,Project Hope,,5,,,4/25/2022 3:42pm
Salvation Army,,Vetted,,Whatcom County,(360) 733-1410,http://bellingham.salvationarmy.org,"Provides food boxes, holiday programs, and Puget Sound Energy Assistance with urgent and/or shut off notice.","Salvation Army Energy Assistance ,Salvation Army Food Bank",,Salvation Army,,,,,3/23/2022 10:59am
Sea Mar Community Health Center,,Vetted,Sea Mar,Whatcom County,,https://www.seamar.org/index.html,"A community-based organization committed to providing quality, comprehensive health, human, educational and cultural services to diverse communities, specializing in service to Latinos. 
","Sea Mar Bellingham Medical Clinic,Sea Mar Everson Medical Clinic,Sea Mar Bellingham Dental Clinic,Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Bellingham Behavioral Health Child and Family Services,Sea Mar Health Education,Sea Mar Maternity Support Services,Sea Mar WIC and Nutrition Program,Sea Mar Healthcare for the Homeless Program,Sea Mar Migrant and Seasonal Farmworker Promotores Program",,"Sea Mar Bellingham Medical Clinic,Sea Mar Everson Medical Clinic,Sea Mar Bellingham Dental Clinic,Sea Mar Bellingham Behavioral Health Clinic,Sea Mar Bellingham Downtown",,5,,,3/31/2022 3:31pm
Southside Food Bank,,Vetted,,Whatcom County,(360) 733-8400,https://www.hcbellingham.com/southside-food-bank/,Provides food to anyone in need. Open the first and third Thursday of each month.,Southside Food Bank,,Southside Food Bank,,,,,3/23/2022 11:00am
The Arc of Whatcom County,,Vetted,The Arc,Whatcom County,(360) 715-0170,http://arcwhatcom.org/wp/about-the-arc/dan-godwin-community-center/,"Works to improve the quality of life, increase the independence and assure the full inclusion in the community of all persons with developmental disabilities. The Arc acts as an information resource, linking persons with developmental disabilities and their families with available resources in the community.

","Parent Coalition,Parent to Parent Support Programs,Self-Advocacy Program,Down Syndrome Outreach Program,Medicaid Personal Care Parent Training,The Arc Legislative Advocacy",,The Arc of Whatcom County Dan Godwin Community Center,,5,,,5/19/2022 12:11pm
Tutu's Free Food Hotline ,,Vetted,Tutu's Free Food Hotline,Whatcom County,(360) 788-7EAT (7328),,A Project of Whatcom Anti-Hunger Coalition and Opportunity Council. People can call this number and get information on food banks and prepared meal served on each day of the week.,Tutu's Free Food Hotline,,,,,,,3/31/2022 2:55pm
Unity Care NW,,Vetted,Unity Care NW,Whatcom County,(360) 676-6177,https://unitycarenw.org,"A local, non-profit health care provider that is part of a national network of community health centers. Aims to improve access to health care for everyone, regardless of insurance status or ability to pay.

","Unity Care NW Primary and Preventative Health Care,Unity Care NW Children's Medical Care,Unity Care NW Adult Dental Care,Unity Care NW Children's Dental Care,Unity Care NW Behavioral Health",,"Unity Care NW Bellingham Medical and Children's Dental Services,""Unity Care NW Bellingham Adult Dental, Behavioral Health, Donations, and Administration"",Unity Care NW Bellingham Pharmacy,Unity Care NW Ferndale",,5,,,3/31/2022 3:31pm
Whatcom Center for Early Learning,WCEL,Vetted,WCEL,Whatcom County,(360) 671-3660,http://www.wcel.net/,"Providing comprehensive, family centered early intervention services for children ages birth to three with special needs.","Early Support for Infants and Toddlers (WCEL),Sensational Toddlers,WCEL Friends Playgroup,WCEL Drop-in Playgroups",,Whatcom Center for Early Learning,,5,,,5/19/2022 1:01pm
Whatcom County Health Department ,,Vetted,Whatcom County Health Department,Whatcom County,(360) 778-6000,http://www.co.whatcom.wa.us/health/,Health Department for Whatcom County.,"Nurse-Family Partnership,Whatcom County Veterans Program,Prevention Coalitions,Syringe Services Program",,"Whatcom County Health Department ,Whatcom County Health Department - State Street",,5,,,5/25/2022 7:51am
Whatcom County Library System,WCLS,Vetted,,Whatcom County,(360) 305-3600,http://www.wcls.org,"Library system for Whatcom County with branches in Blaine, Deming, Everson, Ferndale, Lummi Island, Lynden, Maple Falls, Point Roberts, South Whatcom, and Sumas. ","WCLS WiFi and Laptops,WCLS Printing Services,WCLS Meeting Spaces,WCLS Learning Resources,WCLS Community Resources,WCLS Events Calendar",,"Blaine Library,Deming Library,Everson Library,Ferndale Library,Island Library,Lynden Library,North Fork Library,Northwest Drive Library Express,Point Roberts Library,South Whatcom Library,Sumas Library",,,,,7/14/2022 10:12am
Bellingham Whatcom County Housing Authority,,Vetting In Progress,,Whatcom County,(360) 676-6887,http://www.bellinghamhousing.org/,"Hrs. M-F, 9am-4pm.  Subsidized housing options for income eligible households; includes Section 8, Project Based Section 8 and Public Housing.",,,Bellingham Whatcom County Housing Authority,,,,,8/17/2022 1:27pm
Boys and Girls Clubs of Whatcom County,,Vetting In Progress,,Whatcom County,(360) 738-3808 (corporate office),http://www.whatcomclubs.org/,"Impact kids through academic success, good citizenship, healthy lifestyles, and athletic programs.  Before and after school programs available.
Bellingham: 1715 Kentucky St. Bellingham 98229 - (360) 527-9777
Ferndale: 2015 Cherry St. Ferndale 98248 - (360) 384-0753
Lynden: 8800 Bender Rd. Lynden 98264 - (360) 354-9959
Blaine: 635 8th St, Blaine 98230 - (360) 332-3008",,,,,,,,6/13/2022 1:33pm
Catholic Community Services,,Vetting In Progress,,Whatcom County,(360) 676-2164,http://www.ccsww.org/,"Hrs. M-Th: 8am-6pm, F: 8am-5pm  Provides behavioral health assessments and services for children up to age 21 with state health insurance",,,Catholic Community Services,,,,,6/13/2022 1:33pm
Catholic Housing Services,,Vetting In Progress,,Whatcom County,(360) 671-1077,http://ccsww.org/get-help/housing/,Has units for low-income people and and persons with disabilities.  Units accessed through the housing pool at Opportunity Council.  ,,,Catholic Housing Services,,,,,6/13/2022 1:34pm
City Gate Apartments (Pioneer Human Services),,Vetting In Progress,,Whatcom County,Resident Manager: (360) 927-6533,http://www.pioneerhumanservices.org,"Permanent supportive housing for offender re-entry program. Clients must be homeless and referrals made by corrections officer, mental health counselor, shelter program or other referring agency on a case by case basis. Clean and Sober supervised program.",,joseph.nagel@p-h-s.com ,City Gate Apartments,,,,,6/13/2022 1:34pm
Compass Health ,,Vetting In Progress,,Whatcom County,(360) 676-2220,http://www.compasshealth.org ,Hrs. M-F: 8:30am-5:30pm. Offers comprehensive and personalized mental health and psychiatric outpatient services.,,,Compass Health,,,,,6/13/2022 1:34pm
Goodwill Job Training and Education Center ,,Vetting In Progress,,Whatcom County,(360) 738-0483,https://seattlegoodwill.org/locations/5,"Hrs: M-Th 9am-5pm, Fri by appt.  We offer FREE classes in a wide range of subjects, including English for Speakers of Other Languages (ESOL), Computers, GED Preparation, and Retail and Customer Service.",,,Goodwill Job Training and Education Center,,,,,6/13/2022 1:35pm
Hillcrest Chapel ,,Vetting In Progress,,Whatcom County,(360) 733-8400,,"Hrs. M-Th: 9am-4pm. Fri by Appointment. Emergency financial assistance for gas vouchers, food, utilities, and other emergency needs. Rental assistance not available. Call for information.",,,Hillcrest Church,,,,,6/13/2022 1:35pm
Home Rehabilitation Loan Program,,Vetting In Progress,,Whatcom County,(360) 778-8391,https://www.cob.org/services/housing/Pages/home-rehabilitation.aspx ,Hrs. M-F: 8am-5pm. Loan program to assist low and moderate income Bellingham City residents in making repairs to their homes with 0% and low interest loans.,,,Bellingham City Hall,,,,,6/13/2022 1:35pm
Kaleidoscope Play and Learn Groups,,Vetting In Progress,,Whatcom County,,,,,,,,,,,5/4/2022 4:07pm
Kids in Motion ,,Vetting In Progress,,Whatcom County,(412) 444-KIDS (5437),http://www.kidsinmotionclinic.org/,"Kids in Motion provides physical, occupational and speech therapy for children with neurodevelopmental disorders. Kids in Motion offers home based therapy services to support the development of successful strategies for daily living.  Children receive quality intervention and caregivers are empowered, all within the comfort of home.  Works out of Christ the King church on Tuesdays and Thursdays.  ",,,Christ the King Community Church Bellingham,,,,,6/13/2022 1:36pm
Kids Korner ,,Vetting In Progress,,Whatcom County,(360) 734-3858,http://kidskornerlearningcenter.net/home,"Hrs: M-F 6:30am-6:30pm Childcare for 1 to 5 years, provides Head Start services, toddler and preschool curriculum, meals included, accepts DSHS.    ",,,Kids Korner,,,,,6/13/2022 1:36pm
Kulshan Community Land Trust ,,Vetting In Progress,,Whatcom County,(360) 671-5600,http://www.kulshanclt.org/,Hrs. M-F: 9am-5pm. Non-profit working to create healthy communities through permanently affordable homeownership. See website for income qualifications.  Also have monthly home buyer education classes.,,,Kulshan Community Land Trust,,,,,6/13/2022 1:36pm
Law Advocates  ,,Vetting In Progress,,Whatcom County,(360) 671-6079,http://www.lawadvocates.org/,"Hrs. M-Th:9am-5pm, Fri:9am-12pm.  Offers free civil legal advice & referrals for low-income households. To determine eligibility and type of legal problem call the CLEAR line M-F 9:15am-12:15pm at 1-888-201-1014.  Also offers law clinics like Street Law, Tenant Clinic, and Access ID. Please see website for details on all Law Advocate programs and clinic times.",,,Law Advocates,,,,,6/13/2022 1:36pm
Lighthouse Mission  ,,Vetting In Progress,,Whatcom County,(360) 733-5120,http://www.thelighthousemission.org/,"Emergency shelter for single men and women. Limited space available for fathers with children and mother with teenage sons, medical respite, and men with special needs. Transitional housing for men. Prepared meals served daily, call for times.  ",,,Lighthouse Mission Ministries,,,,,6/13/2022 1:36pm
Little Cheerful Cafe Soup Kitchen ,,Vetting In Progress,,Whatcom County,,,"Mondays: 6-7pm, November-March. Provides a meal to the homeless community of Whatcom county, all are welcome.",,,Little Cheerful,,,,,5/4/2022 4:11pm
Love INC. ,,Vetting In Progress,,Whatcom County,(360) 671-6201,http://www.whatcomloveinc.org/ ,"Hrs: M-Th 9am-1pm. Services include budget counseling, furniture program, relational support, transportation to medical appointments with two-week advance notice, small home repair, bus pass and food voucher. Limited financial resources include prescription co-pays, back to work needs (such as work boots) and transportation funding for those who are homeless and moving into housing or a person escaping DV situation",,,Love INC,,,,,5/4/2022 4:11pm
Lummi Children’s Services ,,Vetting In Progress,,Whatcom County,(360) 384-2324,,"Hrs. M-F: 8am-4:30pm.  Provides a continuum of culturally relevant support services to children and families of the Lummy Nation in the area of foster care, alternative parental care, and intervention/prevention.",,,Lummi Children's Services,,,,,6/13/2022 1:36pm
Lummi Community Services ,,Vetting In Progress,,Whatcom County,Unnamed record,http://www.lummi-nsn.org/website/dept_pages/health/commods.shtml,"Provides food and energy assistance to low income households allowing the clients to maintain his or her dignity while applying for services.  Commodity foods, nutrition education, energy assistance, lummi wood cutting, food bank, diapers and clothing, and holiday food baskets.",,,Lummi Community Services,,,,,6/13/2022 1:36pm
Lummi Housing ,,Vetting In Progress,,Whatcom County,(360) 312-8407,http://www.lummi-nsn.org/website/dept_pages/housing/housing_home.shtml,"Hours: Mon-Fri, 830am-430pm. Subsidized housing for Native Americans.  Lummi Tribal members are prioritized. ",,,Lummi Housing,,,,,6/13/2022 1:36pm
Lummi Victims of Crime - LVOC ,,Vetting In Progress,,Whatcom County,(360) 312-2015,https://www.lummi-nsn.gov/Website.php?PageID=399,"Hrs. M-F: 8am-4:30pm. or 24 Hour Hotline:  (360) 384-6974
At LVOC we are here to help any adult or adolescent who has been affected by domestic violence, sexual assault, elder abuse, assault & battery, survivor of homicide, and child abuse.  Services include: crisis counseling, advocacy for domestic violence and sexual assault crimes, safety planning, legal advocacy, transportation to medical, legal, and therapy appointments, Domestic Violence shelter, and traditional healing",,,Lummi Victims of Crime,,,,,6/13/2022 1:37pm
Lydia Place  ,,Vetting In Progress,,Whatcom County,(360) 671-7663,http://www.lydiaplace.org,"A nonprofit, community-based agency serving homeless families.  
Housing programs include emergency, transitional, and permanent supportive housing. Provides intensive case management, advocacy and education, parenting support, life skills classes, behavioral health counseling, and community resource referrals. ","Lydia Place Housing for Households Without Children,Lydia Place Family Housing,DVSAS Partnership,Parents as Teachers ,CenteringPregnancy",,Lydia Place,,,,,4/6/2022 10:39am
Miracle Food Network,,Vetting In Progress,,Whatcom County,,,,,,,,,,,5/4/2022 4:08pm
New Way Ministries ,,Vetting In Progress,,Whatcom County,(360) 354-9930,http://www.christianhopeassociation.org,New Way Ministries is a non-profit organization that provides six months of transitional housing to women and their children and Great Expectations maternity home that provides housing for pregnant and new moms in crisis. New Way ministries has three housing programs for women and their children and a Next Steps program for a continuum of support after they finish our transitional housing. This ministry is a facet of the Christian Hope Association.,,,New Way Ministries,,,,,6/13/2022 1:37pm
Nooksack Indian Housing Authority ,,Vetting In Progress,,Whatcom County,(360) 592-5163,http://www.nooksacktribe.org/departments/housing-department/ ,"The Nooksack Indian Housing Authority (NIHA) currently serves a significant portion of the Nooksack tribal community in providing housing services. NIHA provides housing opportunities for 179 Nooksack families to help people overcome different barriers. Of the 179 Nooksack families housed, 59 of such families have conveyed an interest in homeownership; 100 families are active participants of eventual homeownership programs and 22 are participants of the Low Rent Program. NIHA also administers a waiting list of Tribal Members in need of affordable housing, and is creating future plans and developments that would keep this list to a minimum. Additionally, NIHA helps Tribal Members connect with other State and Federal housing services, including the Section 184 Home Loan Program, Down Payment Assistance, as well as other administrative assistance.",,,,,,,,6/13/2022 1:37pm
Nooksack Tribal Education Department ,,Vetting In Progress,,Whatcom County,(360) 966-9696,http://www.nooksacktribe.org/departments/education/,"Hrs. M-F: 9am-5:30pm.  Head Start program for 3-5 year olds. After school homework help, summer reading and math programs, cultural workshops and language classes.  Liaison for parents with communicating with school and IEP meeting. Tutoring available with a referral. Assists in providing vocational training, high school diplomas, and all levels of higher education. Tribal Members can apply for several educational grants for adult basic education, higher education, adult vocational technical education, career training and technical education and school expenses and extracurricular expenses. ",,,Nooksack Tribal Education Department,,,,,6/13/2022 1:37pm
Northwest Justice Project ,,Vetting In Progress,,Whatcom County,(360) 734-8680,http://www.nwjustice.org/,"M-F 9am-5pm. Provides free civil legal services to low income households.
Call CLEAR line, 1-888-201-1014, for client intake. ",,,Northwest Justice Project,,,,,6/13/2022 1:37pm
Operation School Bell - Assistance League of Bellingham,,Vetting In Progress,,Whatcom County,(360) 738-2803,http://assistanceleaguebellingham.org/school-bell/,Provides clothing and shoes for school age children K-8 and homeless high school students. Referrals made through Whatcom County School Districts in the fall.,,,Assistance League of Bellingham,,,,,6/13/2022 1:38pm
Our Treehouse,,Vetting In Progress,,Whatcom County,,http://www.our-treehouse.org,Our TreeHouse provides a safe environment where children and their families grieving a death can share their experiences and help them heal. Peer support groups and pizza offered the first and third Tuesday of the month from 6:00 until 8:00 PM for children and teens who are grieving due to the death of a parent or sibling. For more information call Lizanne Schader at 360.223.6681. Separate support group offered on-site for adults raising grieving youth. ,,,Our Treehouse,,,,,6/13/2022 1:38pm
Rebound of Whatcom County,,Vetting In Progress,,Whatcom County,(360) 714-0700,http://reboundfamilies.org/,"Hrs: M-F: 9am-4:30pm. Provides services that meet the needs of children and families dealing with poverty, domestic violence, homelessness and abuse.",,,Rebound of Whatcom County,,,,,6/13/2022 1:38pm
Rooted Emerging,,Vetting In Progress,,Whatcom County,(360) 510-3205,http://www.rootedemerging.org/  ,"Nonprofit project of 4-H, offering positive youth development in the context of Adventure Education. Coming of age programs for girls and boys ages 11-15 in a community focused right of passage. ",,,Rooted Emerging,,,,,6/13/2022 1:39pm
