name,organizations,organization_id,alternate_name,description,locations,location_id,url,email,phones,contacts,taxonomy,taxonomy_term_id,address,id,status,application_process,interpretation_services,wait_time,fees,accreditations,licenses,schedule,x-details,y-org status,programs
Ferndale Student Services,Ferndale School District,recEvqQH3iphZ55tu,,"Serves Special Education, English Language Learners, Native American Education, Section 504, Early Learning and McKinney Vento (Homeless families and youth), students in Foster Care and Migrant students, student health needs and families and students in need of resources (clothing, food, transportation, etc.).",,,https://www.ferndalesd.org/deptprograms/teaching-learning/student-services,,,,Community Support Services,recwQuL3cKTIDX0Ib,,recofL7aEzXa5V3ak,,,,,,,,,,Vetted,
Ferndale Jump Start Kindergarten,Ferndale School District,recEvqQH3iphZ55tu,,"A free transitional kindergarten for students who are scheduled to enter kindergarten in the upcoming fall. Students enter the Jump Start program based on need and/or ability such as financial, social emotional, academics, and /or transportation needs. Students must be 4 years old prior to August 31 to be eligible for the current school year. Students cannot be enrolled in another early learning program.",,,https://www.ferndalesd.org/deptprograms/early-learning-center-clone,,(360) 383-9660,,"Education,Children","recOGCSUVHnuizJWp, recH2S9jjAnFPldly",,rec5B4Vbv82oIuon6,,"To apply for Jump Start Kindergarten, contact Rachel Bowlden at 360-383-9660 or rachel.bowlden@ferndalesd.org, or fill out the application online.",,,,,,,,Vetted,
Meridian Readiness to Learn,Meridian School District,rectK6rFW7pxJlmhu,,"Promotes student success by facilitating the combined efforts of schools, families, and communities to address the needs of the whole child. Referrals may be made for basic needs, such as food, clothing and shelter; health needs including vision, and dental care; and mental health/wellness referrals coordinated with school counselors and psychologists. ",,,https://www.meridian.wednet.edu/family-services/,,(360) 318-2486,,Community Support Services,recwQuL3cKTIDX0Ib,,recU6c8p7HGJ0cWrG,,,,,,,,,,Vetted,
Meridian Transitional Kindergarten,Meridian School District,rectK6rFW7pxJlmhu,,A free transitional kindergarten for students who are scheduled to enter kindergarten in the upcoming fall. Students must be 4 years old prior to August 31 to be eligible for the current school year.,,,,,,,"Children,Education","recH2S9jjAnFPldly, recOGCSUVHnuizJWp",,recgctYnGGvDeuDiG,,,,,,,,,,Vetted,
Mt. Baker Family Services,Mount Baker School District,receODvuBL3YFJySj,,"Assists families with resources, information and problem solving to help their children succeed in school.
",,,https://www.mtbaker.wednet.edu/page/family-services-program,,,Mount Baker School District Family Services Coordinators,Community Support Services,recwQuL3cKTIDX0Ib,,recWQKS9hKAz1Hz23,,,,,,,,,,Vetted,
Mt. Baker Educational Resource Center,Mount Baker School District,receODvuBL3YFJySj,,"A public preschool program that includes Head Start, Co-Op Preschool, and Child Find Screenings.",Mt. Baker Educational Resource Center,recNAiUzHH97Wc7ur,https://www.mtbaker.wednet.edu/o/erc,,(360) 383-2012,,"Children,Education,Preschool,Early Childhood Intervention","recH2S9jjAnFPldly, recOGCSUVHnuizJWp, recGS0bYbwxsgLeKd, recoILBn6aJRJVOJz",4888 Deming Rd.,recautfI9XE1i6IcW,,,,,,,,,,Vetted,
Nooksack Valley Early Childhood Program,Nooksack Valley School District,recW8eU5PxkL9Zhn7,,"Serves families with children ages birth to five to ensure access to quality early childhood services for families in the Nooksack Valley School District. The focus of the birth to five programs is to support each and every child’s individual development, ensuring school readiness when entering kindergarten.",,,https://www.nv.k12.wa.us/departments-programs/early-childhood-program,,(360) 988-4754,,"Children,Education,Preschool,Head Start,Early Childhood Intervention","recH2S9jjAnFPldly, recOGCSUVHnuizJWp, recGS0bYbwxsgLeKd, recTcZuOrFxTGOCTs, recoILBn6aJRJVOJz",,recdJllLpPE9ESlcV,,,,,,,,,,Vetted,
McKinney-Vento Program (BSD) ,Blaine School District,rec8KZuw6G3Gn2p3c,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Blaine School District Homeless Liaison,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,recIlYV4og2CVNuY6,,,,,,,,,,Vetted,
Child Find Screenings (BSD),,,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://www.blainesd.org/o/blaine-primary-school/page/developmental-preschool-program,,(360) 383-9660,,"Children,Preschool,Developmental Disability,Understand Disability,Learning Disability,Disability,Disability Screening,Early Childhood Intervention","recH2S9jjAnFPldly, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recCxMWwGxYG6a0sF, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recViMSTdmNcd5RWO, recoILBn6aJRJVOJz",,recIHL3K0O7uadcu5,,"Screenings can be completed for any child, birth to age five, whose family or caregiver would like more information about their child’s development. ",,,,,,,,,
Developmental Preschool (BSD),Blaine School District,rec8KZuw6G3Gn2p3c,,"Early childhood preschool programs provide a language-based curriculum to students ages 3-4 who have been identified with developmental delays and qualify for special education services. Programs provide direct, integrated, and/or consultative services to students with mild to moderate disabilities in general education. Contact your school district to apply.",,,https://www.blainesd.org/o/blaine-primary-school/page/developmental-preschool-program,bpsoffice@blainesd.org,(360) 332-1300,,"Early Childhood Intervention,Children,Learning Disability,Disability,Developmental Disability,Preschool,Education","recoILBn6aJRJVOJz, recH2S9jjAnFPldly, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recyhyWOEEXd1S4PP, recGS0bYbwxsgLeKd, recOGCSUVHnuizJWp",,recLbHfIhoGvPROU0,,,,,,,,,,Vetted,
McKinney-Vento Program (FSD),Ferndale School District,recEvqQH3iphZ55tu,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Ferndale School District Homeless Liaison,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,recaOegM5HETvhoyx,,,,,,,,,,Vetted,
Child Find Screenings (FSD),Ferndale School District,recEvqQH3iphZ55tu,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://www.ferndalesd.org/deptprograms/early-learning-center-clone,,(360) 383-9660,,"Children,Preschool,Developmental Disability,Understand Disability,Learning Disability,Disability,Disability Screening,Early Childhood Intervention","recH2S9jjAnFPldly, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recCxMWwGxYG6a0sF, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recViMSTdmNcd5RWO, recoILBn6aJRJVOJz",,rec5ss9GOHurmnQrl,,,,,,,,,,Vetted,
Developmental Preschool (FSD),Ferndale School District,recEvqQH3iphZ55tu,,"Early childhood preschool programs provide a language-based curriculum to students ages 3-4 who have been identified with developmental delays and qualify for special education services. Programs provide direct, integrated, and/or consultative services to students with mild to moderate disabilities in general education. Contact your school district to apply.",,,https://www.ferndalesd.org/deptprograms/teaching-learning/student-services/early-childhood-screening,,(360) 383-9660,,"Early Childhood Intervention,Children,Learning Disability,Disability,Developmental Disability,Preschool,Education","recoILBn6aJRJVOJz, recH2S9jjAnFPldly, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recyhyWOEEXd1S4PP, recGS0bYbwxsgLeKd, recOGCSUVHnuizJWp",,recPRhDXnFVkOahBc,,,,,,,,,,Vetted,
McKinney-Vento Program (Lummi),Lummi Nation School,recV4opVj8TPlUIdT,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Lummi Nation School Homeless Liaison,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,recPZTciHM4NMoX8a,,,,,,,,,,Vetted,
McKinney-Vento Program (LSD),Lynden School District,recoMAIC5xcq41j9t,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Lynden School District Homeless Liaison,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,recgy9ZHEijmTyRvx,,,,,,,,,,Vetted,
Child Find Screenings (LSD),Lynden School District,recoMAIC5xcq41j9t,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://lynden.wednet.edu/departments/special_programs_special_education/child_find,,(360) 354-2893 ext. 3,,"Childcare,Preschool,Developmental Disability,Understand Disability,Learning Disability,Disability,Disability Screening,Early Childhood Intervention","recNHN96Flxd18XRt, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recCxMWwGxYG6a0sF, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recViMSTdmNcd5RWO, recoILBn6aJRJVOJz",,rectWba2CssQIALfY,,,,,,,,,,Vetted,
Developmental Preschool (MSD),Meridian School District,rectK6rFW7pxJlmhu,,"Early childhood preschool programs provide a language-based curriculum to students ages 3-4 who have been identified with developmental delays and qualify for special education services. Programs provide direct, integrated, and/or consultative services to students with mild to moderate disabilities in general education. Contact your school district to apply.",,,https://www.meridian.wednet.edu/ire/early-childhood/,,(360) 398-2111,,"Early Childhood Intervention,Children,Learning Disability,Disability,Developmental Disability,Preschool,Education","recoILBn6aJRJVOJz, recH2S9jjAnFPldly, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recyhyWOEEXd1S4PP, recGS0bYbwxsgLeKd, recOGCSUVHnuizJWp",,rec24l8X1JPQjzyxJ,,,,,,,,,,Vetted,
McKinney-Vento Program (MBSD),Mount Baker School District,receODvuBL3YFJySj,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Mount Baker School District Family Services Coordinators,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,reclfUbfxMULFVpr5,,,,,,,,,,Vetted,
Child Find Screenings (MBSD),Mount Baker School District,receODvuBL3YFJySj,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://www.mtbaker.wednet.edu/o/erc/page/child-find-screenings,,(360) 383-2012,,"Children,Preschool,Developmental Disability,Understand Disability,Learning Disability,Disability,Disability Screening,Early Childhood Intervention","recH2S9jjAnFPldly, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recCxMWwGxYG6a0sF, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recViMSTdmNcd5RWO, recoILBn6aJRJVOJz",,recRvWEOs6wLQZnnT,,,,,,,,,,Vetted,
McKinney-Vento Program (NVSD),Nooksack Valley School District,recW8eU5PxkL9Zhn7,,"Serves students experiencing homelessness. This program is designed to reduce isolation, maximize stability and maintain consistency for this population of children and youth. Contact the liaison in your school district for support. ",,,https://www.whatcomabc.org/mckinney-vento/,,,Nooksack Valley School District Homeless Liaison,"Families,Children,Near Homeless,Homeless,Housing","recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, rec2cxjnl0Pw6JmTi, rec7wvcVfmMf7RwS7, recCKTPd4gJzUTY28",,recCmn8hzKmtAN8lt,,,,,,,,,,Vetted,
Child Find Screenings (NVSD),Nooksack Valley School District,recW8eU5PxkL9Zhn7,,"A screening to identify any factors that may interfere with a child’s learning, growth and development. The screening is also provided to help parents identify their child’s strengths and weaknesses and provide home suggestions and/or further evaluation if needed in any area of concern. ",,,https://www.nv.k12.wa.us/departments-programs/early-childhood-program,,(360) 988-4754,,"Children,Preschool,Developmental Disability,Understand Disability,Learning Disability,Disability,Disability Screening,Early Childhood Intervention","recH2S9jjAnFPldly, recGS0bYbwxsgLeKd, recyhyWOEEXd1S4PP, recCxMWwGxYG6a0sF, recnvZKSnY59H6gFG, recLKLYZv41O8jPT4, recViMSTdmNcd5RWO, recoILBn6aJRJVOJz",,recmGPSVqoNmxUTj9,,,,,,,,,,Vetted,
Bellingham Food Bank,Bellingham Food Bank,recNRzOVEkBpYoXvb,,Provides free groceries to anyone in Bellingham. Up to two visits per week allowed per household. Pick up for up to two households per visit.,"Christ the King Community Church Bellingham,Bellingham Food Bank","recE9kn7XXnbHYcue, recejO96jD3mCyzED",,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3","4173 Meridian St. ,1824 Ellis St.",recDmxOz8FG1FIcUL,,,,,,,,"recsz9NWjOZScRGNq,recYlP3E2tFAltjHk",,Vetted,
Blaine Food Bank,Blaine Food Bank,recODRs6fVnZMg4Eh,,"Provides food to Blaine, Custer, Birch Bay, and Semiahmoo residents. Households can visit up to twice per week.",Blaine Food Bank,rec0DV1eARliMWTQ4,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",500 C St.,recjusb3lLuXQcidY,,,,,,,,,,Vetted,
Nooksack Valley Food Bank,Nooksack Valley Food Bank ,recI0LUDbtKCYP4Ar,,"Provides produce, canned goods, breads, meat, and dairy items. No ID or proof of address required. Income guidelines are currently 400% of Federal Poverty Level.",Nooksack Valley Food Bank Everson,recg2lXT0j7W9in0o,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",100 E. 2nd St. ,recwwyme6oppFzCcy,,,,,,,,"recqUZlRRljEIARe1,rec7uYO9qN2y40xOC,reck8jWKoLSij4n47",,Vetted,
Ferndale Food Bank,Ferndale Food Bank ,recIiFZKHYrPCA028,,"Provides food to residents of the Ferndale/Custer area. Please bring a piece of identification (simply your photo with your name) and a Ferndale or Custer area utility bill containing your address with a zip code 98248, 98226, 98230, 98231, or 98240.",Ferndale Food Bank,reclyWch0xv72HteA,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",1671 Main St.,rec6vSx3uQczWhdjT,,,,,,,,,,Vetted,
Foothills Food Bank,Foothills Food Bank ,rec28tJSHcdaJwgpf,,"Provides fresh and frozen produce, dairy products, meat, proteins, canned and dry goods, and bread. Please bring your own bags or boxes. ","Foothills Food Bank,Harmony Elementary School","recVbgUaA5EsTnSVZ, reclvpDYkiwxuN3vJ",,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3","8255 Kendall Rd.,5060 Sand Rd.",recpJ3hCfDgdoWAFl,,,,,,,,,,Vetted,
Lummi Food Bank,Lummi Food Bank  ,rec7BGtgsuosZ2Odd,,Commodity food program for income eligible Native Americans and non-tribal people who live on the reservation.,Lummi Food Bank,recq09YuR2MlJhQVW,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",2830 Kwina Rd. ,recq7lt1krSJ5hh3t,,,,,,,,rectugDVQjKANKyoq,,Vetted,
Project Hope Food Bank,Project Hope Lynden ,recEeLmHcipShs7qC,,"Provides food to residents living within the Lynden School District zone. Bring proof of address on your first visit (a piece of mail, utility bill, rent receipt, etc.). ",Project Hope,recIgoDRUs3aJySBy,https://www.projecthopelynden.org/project-hope-food-bank/,,(360) 354-4673,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",205 S. BC Ave.,rec93UAu9WegCbNMZ,,,,,,,,,,Vetted,
Nooksack Food Bank,Nooksack Food Bank ,recK2yPXUIFyxwQET,,Provides food to anyone in need on the first Friday of each month. Located behind the Social Services building.,Nooksack Food Bank,recgzvAtTP5vylrmt,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",5061 Deming Rd.,recAkwRRS00mZJ7Cp,,,,,,,,recCvnMNjJ1MzboE9,,Vetted,
Salvation Army Food Bank,Salvation Army,recmBwlkTAXZcHKtv,,Provides free food boxes.,Salvation Army,recFlii0Yprl3Pz1l,,,,,"Food,Food Pantry","rec6msXLncJckr8ek, reczMiZVCCACk2iu3",1515 Birchwood Ave.,recwftv25wZ8qzf72,,,,,,,,,,Vetted,
GRADS,Bellingham Public Schools,receUTNvWcgtFzotQ,,"GRADS (Graduation, Reality, And Dual-role Skills) is a program for pregnant and parenting students that provides the academic and childcare support necessary to stay in high school and graduate. Available at no cost to parents under age 21 who live in Whatcom County.",,,https://bellinghamschools.org/programs/early-childhood-education/,,"(360) 676-6488,(360) 393-9336",,"Children,Parenting Education,Childcare,Students,Teens,Pregnant,Families,Education","recH2S9jjAnFPldly, recIYoQCXH2GX4meA, recNHN96Flxd18XRt, recRkWhxivlC8cQqc, rec3MOuAsiEAxOo3z, receH7Eb28JwIIF3S, recOs8jW9d2WJDhsu, recOGCSUVHnuizJWp",,recFmvXFBmC8T6319,,,,,,,,,,Vetted,
Early Head Start,Opportunity Council,recDx6bdruXoWzLPy,,"A special Head Start program serving infants, toddlers, and pregnant parents in Whatcom County. Services include prenatal education, health and nutrition services, family development support, and home visits focusing on child development and quality early education. This program is for income eligible families.",Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.oppco.org/basic-needs/infants-toddlers/,,(360) 734-8396,,"Head Start,Education,Families,Children,Early Childhood Intervention,Parenting Education,Parents","recTcZuOrFxTGOCTs, recOGCSUVHnuizJWp, recOs8jW9d2WJDhsu, recH2S9jjAnFPldly, recoILBn6aJRJVOJz, recIYoQCXH2GX4meA, rec4cE8qW6kVNk0bV",1111 Cornwall Ave,recCiTWs5rXdzYEO8,,"Selection process begins in early summer and continues until classes are full. Apply online, or pick up an application in person.",,,,,,,,Vetted,
Head Start,Opportunity Council,recDx6bdruXoWzLPy,,"With no cost for families that qualify, Opportunity Council offers preschool services throughout Whatcom County for children between the ages of 3 and 5.",Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.oppco.org/basic-needs/preschool-education/,,(360) 734-8396,,"Head Start,Preschool,Education,Children,Families","recTcZuOrFxTGOCTs, recGS0bYbwxsgLeKd, recOGCSUVHnuizJWp, recH2S9jjAnFPldly, recOs8jW9d2WJDhsu",1111 Cornwall Ave,recrD7Y4506oaNPqB,,"Apply online, or request an application in person. You can apply any time of the year. While the majority of children begin at the start of the traditional school year, whenever vacancies are available they are filled by families that have completed the eligibility process.",,,,,,,,Vetted,
Child Care Aware of NW Washington,Opportunity Council,recDx6bdruXoWzLPy,,"Provides families with information and referrals to licensed child care facilities and supports child care providers through coaching, technical assistance, behavioral consultation, and professional development opportunities.",Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.oppco.org/basic-needs/child-care-resources/,,1-800-446-1114,,"Childcare,Children,Help Find Childcare,Daytime Care","recNHN96Flxd18XRt, recH2S9jjAnFPldly, recqZnWdkZeo2DENj, recITCMLWdpvz84Xc",1111 Cornwall Ave,recdwiBfwj4N45Vj0,,,,,,,,,,Vetted,
Single Entry Access to Services,Opportunity Council,recDx6bdruXoWzLPy,SEAS,"Housed at the Opportunity Council, this program of Whatcom Taking Action provides resources and support for families and medical professionals looking for services for children birth to 21 in Whatcom County with known or suspected special health care needs.",Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://whatcomtakingaction.org,,(360) 715-7485,,"Children,Disability,Developmental Disability,Navigating the System,Health","recH2S9jjAnFPldly, recLKLYZv41O8jPT4, recyhyWOEEXd1S4PP, recjW3uPkRdSkwZwb, reciYkvwqodZbQOxg",1111 Cornwall Ave,recjJSMGLXf7pskpq,,,,,,,,,,Vetted,
Early Support for Infants and Toddlers (Opportunity Council),Opportunity Council,recDx6bdruXoWzLPy,ESIT,Serves families with children from birth to three years old who have developmental delays or disabilities in order to maximize each child’s development.,Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.oppco.org/basic-needs/infants-toddlers/,,(360) 715-7485,,"Early Childhood Intervention,Children,Families,Disability,Developmental Disability","recoILBn6aJRJVOJz, recH2S9jjAnFPldly, recOs8jW9d2WJDhsu, recLKLYZv41O8jPT4, recyhyWOEEXd1S4PP",1111 Cornwall Ave,rec2JX5keEvajZwaS,,,,,,,,,,Vetted,
Child Care Nutrition Program,Opportunity Council,recDx6bdruXoWzLPy,,Reimburses licensed/participating family child care providers for the nutritious meals they serve to the children in their care.,Opportunity Council Early Learning and Family Services,recr9zO51MLCurR5R,https://www.oppco.org/basic-needs/child-care-resources/,,(360) 734-8396 ext. 1426,,Nutrition,recsjz9aCm9eI3HvD,1111 Cornwall Ave,recaYPPrUyLqlssAM,,,,,,,,,,Vetted,
