,organization_id,o_name,o_description,o_url,location_id,l_name,l_description,latitude,longitude,address_1,address_2,city,state_province,postal_code,cluster id,confidence
43,61d18c0dab612195095c2d96c7d5701e,brigid collins family support center,"works to end child abuse in both whatcom and skagit counties. connects with local law enforcement jurisdictions, prosecuting attorneys, medical providers, child protection workers and therapists from both counties.",http://www.brigidcollins.org,67f0b2c96f7f64f53013b6e42a388711,brigid collins family support center in whatcom,,,,1231 north garden street,suite 200,bellingham,wa,98225,16,0.5000020265579224
44,a73f3b0d880af2d66b6b2dba0f8547f8,whatcom humane society,"advocate for animals by educating the community to promote humane treatment and respect for animals and provide for abandoned, injured, abused or neglected animals.",http://www.whatcomhumane.org,b1e2570d3c373f29052d93609fd71199,whatcom humane society,,,,2172 division street,,bellingham,wa,98226,17,0.5000226204743781
45,5ba609a01a67ad846f7153edcef3f278,interfaith coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,62fed08322f05e4f06e5493a360d61f3,interfaith coalition,,,,495 east bakerview road,,bellingham,wa,98226,67,1.0
46,5ba609a01a67ad846f7153edcef3f278,interfaith coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,f5118d81f8886f7bbce5a77e7a27556a,interfaith coalition of whatcom county at arch of healing and reconciliation,,,,400 north commercial street,,bellingham,wa,98225,68,1.0
47,d583d3e52bf5e616c65b41210e2a4508,northwest braille services,a non-profit agency providing braille services.,,e838e7c14ffcba7dde364a22570ec283,northwest braille services,,,,6162 aquarius avenue,,ferndale,wa,98248,69,1.0
48,7ad08b00e943bdca64eceb65114f1f10,boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,195cac0e3393d0c5aa705e12dd608722,boys girls club in bellingham,,,,1715 kentucky street,,bellingham,wa,98229,18,0.5000162124633789
49,7ad08b00e943bdca64eceb65114f1f10,boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,19590ea7b33550f595bea268fa80380a,boys girls club in ferndale,,,,2015 cherry street,,ferndale,wa,98248,9,0.5000199675559998
50,7ad08b00e943bdca64eceb65114f1f10,boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,56944adda69c89ba52cd988362938fc2,boys girls club in lynden,,,,8800 bender road,,lynden,wa,98264,70,1.0
51,7ad08b00e943bdca64eceb65114f1f10,boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,3f468986794a8bb01fc98b9b30b58b01,boys girls club in blaine,,,,635 8th street,,blaine,wa,98230,71,1.0
52,42239cf453427d8d3e4e72a34bbd8200,we care of whatcom county,"provides inexpensive clothing, furniture and housewares to residents of whatcom county.",,d20fa571d77ae9e1db173f63d0d29152,we care of whatcom county,,,,3550 meridian street,suite 2,bellingham,wa,98225,19,0.5000218157759159
53,d051de274a7a7459be862111bd566002,hope house,"hope house is a multi-service center and collaborative effort between multiple non-profit agencies to provide clothing, housewares, emergency food, hygiene, personal care, diapers, school supplies, flashlights, soaps and supplies for those in need.",https://www.assumption.org/hope-house.html,0143fc406cc0cefd3521499a50d40966,hope house,,,,207 kentucky street,,bellingham,wa,98225,20,0.5000026822090149
54,b54c048732654046f3a24379c6ffc5ad,whatcom county pregnancy clinic,"provides services for educating, equipping, and empowering individuals and families facing an unplanned pregnancy by offering a compassionate and confidential environment for patients to be heard and to receive accurate information and medical care.",http://www.whatcomclinic.com,0bdd1ce2eeecc49acda18ea9e788e33a,whatcom county pregnancy clinic,,,,1310 north state street,,bellingham,wa,98225,6,0.5000184703304529
55,4b6464e8d8f814e1c5997ddc21619b4a,new way ministries,"a non-profit faith based organization that provides transitional housing for women and their children. a program designed to assist families in crisis by providing stable housing, dependable income and resources for help and encouragement.",http://www.christianhopeassociation.org,f679bf658f9e5c9738df42953e17b583,new way ministries,,,,205 south british columbia avenue,,lynden,wa,98264,21,0.500024587520516
56,bda655fc6ec27ef475b2d1fbba92dbd9,catholic community services of western washington in whatcom county,"provides social, mental health and chemical dependency services to residents of whatcom county.",http://www.ccsww.org,cada9384d869a74d533fdb3845a9761d,catholic community services of western washington in whatcom,,,,1133 railroad avenue,suite 100,bellingham,wa,98225,72,1.0
57,bda655fc6ec27ef475b2d1fbba92dbd9,catholic community services of western washington in whatcom county,"provides social, mental health and chemical dependency services to residents of whatcom county.",http://www.ccsww.org,040d2ae622487d2a024a756248b72680,catholic community services of western washingtons recovery center,,,,515 lakeway drive,,bellingham,wa,98225,73,1.0
58,099ee930be9dcdee8f545721149b548c,pflag whatcom,"a volunteer group providing support, education and advocacy for lgbtq people, their family and friends.",http://www.whatcompflag.org,8d027758ac303b955e7e131b779f1532,pflag whatcom,,,,405 east holly street,,bellingham,wa,98225,74,1.0
59,367b8396637f073c49dd78cd4e10d995,"work opportunities, inc.","an agency which provides vocational rehabilitation and employment services to persons with mental, physical, emotional and sensory disabilities, so they might obtain the training and employment experiences they need to achieve economic self-sufficiency. www.workopportunities.org",http://www.workopportunities.org,1a2939567d97752911847ace3ada5d00,work opportunities in bellingham,,,,192 east bakerview road,202,bellingham,wa,98226,75,1.0
60,ffd1180418a247eeaf8fb2cd187c4fb8,bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham. it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,b5aaed824e1b6ba72bf6f288a64591ca,bellingham food bank,,,,1824 ellis street,,bellingham,wa,98225,22,0.5000151894810306
61,ffd1180418a247eeaf8fb2cd187c4fb8,bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham. it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,71f40eb71377afad63662f8a57b1b71b,bellingham food bank at christ the king,,,,4173 meridian street,,bellingham,wa,98226,10,0.500024696801084
62,ffd1180418a247eeaf8fb2cd187c4fb8,bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham. it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,712cbf8a0c5a9871e24576fb4fed5c6d,bellingham food bank at shuksan middle school,,,,2717 alderwood avenue,,bellingham,wa,98225,76,1.0
63,ffd1180418a247eeaf8fb2cd187c4fb8,bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham. it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,386b45710850bf5a50c88a045841c15a,bellingham food bank at bellingham high school,,,,2020 cornwall avenue,,bellingham,wa,98225,23,0.5000186367329276
64,ffd1180418a247eeaf8fb2cd187c4fb8,bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham. it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,5d5752204cb088dc8a7e49f144bd3731,bellingham food banks drive-up distribution,,,,1175 jersey street,,bellingham,wa,98225,77,1.0
65,3733c37e6f1b9c832b89a8be7eed40fa,bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,4508ff9988dc25df8d0890d1453d2544,bellingham public librarys central branch,,,,210 central avenue,,bellingham,wa,98225,23,0.5000184082399914
66,3733c37e6f1b9c832b89a8be7eed40fa,bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,c0ce385fef082c6736d29a83da5edab1,bellingham public librarys fairhaven branch,,,,1117 12th street,,bellingham,wa,98225,4,0.5000245577167289
67,3733c37e6f1b9c832b89a8be7eed40fa,bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,02ee5c97a5598e411f20262d3d47953f,bellingham public librarys barkley branch,,,,3111 newmarket street,suite 103,bellingham,wa,98226,24,0.5000284910202026
68,61c6c2cbb804d868746e7fe16378f5ae,blue skies for children,"blue skies for children is a 501(c)3 organization located in whatcom county that grants little wishes for homeless, low-income and foster youth, ages 6-18.",http://www.blueskiesforchildren.org,69ae873f63093f0d240ebac095b698e1,blue skies for children,,,,2505 cedarwood avenue,suite 5,bellingham,wa,98225,23,0.500024130529309
69,f7597a4347eade407f1da423c8362156,camp fire samish,"camp fires all-inclusive programs provide a nurturing, constructive and fun environments for young people to discover their sparks - unique skills, passions, and interests through club programs, self-reliance classes, community service, and camp experiences.",http://www.campfiresamishcouncil.org,600cd842394efa95c4d9a3ef75f20996,camp fire samish,,,,1321 king street,3,bellingham,wa,98229,18,0.5000162124633789
70,529d8e66b788cedf7b60d043fc0d0eb3,laurel church,provides basic needs to those in the community.,http://www.laurelchurch.us,2ccb21965f14d0f752689707d70209b4,laurel community baptist church,,,,162 w laurel rd,,bellingham,wa,98226,25,0.5000093579292297
71,19439b250d8ea5b4e25aff62171f6120,lummi nation,"coast salish people with a rich history, culture and traditions. fishers, hunters, gatherers, and harvesters of natures abundance. lummis envision their homeland as a place where they enjoy an abundant, safe, and healthy life in mind, body, society, environment, space, time and spirituality where all are encouraged to succeed and none are left behind.",https://www.lummi-nsn.gov,f8712f00069e5d1906f9ab279a255902,lummi indian tribe,,,,2665 kwina road,,bellingham,wa,98226,26,0.5000047207101513
72,19439b250d8ea5b4e25aff62171f6120,lummi nation,"coast salish people with a rich history, culture and traditions. fishers, hunters, gatherers, and harvesters of natures abundance. lummis envision their homeland as a place where they enjoy an abundant, safe, and healthy life in mind, body, society, environment, space, time and spirituality where all are encouraged to succeed and none are left behind.",https://www.lummi-nsn.gov,fa703c7ba1844d918366915e0e553839,lummi counseling services,,,,2616 kwina road,,bellingham,wa,98226,26,0.5000047207101513
73,19439b250d8ea5b4e25aff62171f6120,lummi nation,"coast salish people with a rich history, culture and traditions. fishers, hunters, gatherers, and harvesters of natures abundance. lummis envision their homeland as a place where they enjoy an abundant, safe, and healthy life in mind, body, society, environment, space, time and spirituality where all are encouraged to succeed and none are left behind.",https://www.lummi-nsn.gov,b699620c67aadea828cc9280359468ad,lummi food bank,,,,2830 kwina road,,bellingham,wa,98226,26,0.5000046372628677
74,19439b250d8ea5b4e25aff62171f6120,lummi nation,"coast salish people with a rich history, culture and traditions. fishers, hunters, gatherers, and harvesters of natures abundance. lummis envision their homeland as a place where they enjoy an abundant, safe, and healthy life in mind, body, society, environment, space, time and spirituality where all are encouraged to succeed and none are left behind.",https://www.lummi-nsn.gov,4b24e29b652216b3447b247051280e53,lummi tribal health center,,,,2592 kwina road,,bellingham,wa,98226,26,0.5000048279995364
75,1ba290cf6eb98d7f613a2baea5b14847,bloodworks northwest,collects blood from volunteer donors to support the needs and provide specialized health services to patients in western washington. mobile blood donor units are available for blood drives at organizations and businesses. seattle location coordinates a hemophilia summer camp for families.,http://www.bloodworksnw.org,15d17059fd5cba59351094b386e32258,bloodworks northwest - bellingham,,,,410 w bakerview rd,suite 117,bellingham,wa,98226,78,1.0
76,f081883d8c43d9359763127a8ce0596e,compass health - whatcom county,"community-based healthcare agency that behavioral health and medical care services to support clients and communities. addresses complex healthcare needs in partnership with first responders and other community organizations, and form a key section of the community safety net. provides comprehensive mental health treatment, supportive housing, childrens services, community education and much more.",https://www.compasshealth.org,53df53948a6cd8516887a09089d948fc,compass healths mcleod office in bellingham,,,,3645 east mcleod road,,bellingham,wa,98226,27,0.500020653435979
77,f081883d8c43d9359763127a8ce0596e,compass health - whatcom county,"community-based healthcare agency that behavioral health and medical care services to support clients and communities. addresses complex healthcare needs in partnership with first responders and other community organizations, and form a key section of the community safety net. provides comprehensive mental health treatment, supportive housing, childrens services, community education and much more.",https://www.compasshealth.org,cb09ce1e71efe614f2f546312a11e756,compass healths wise office,,,,4350 cordata parkway,suite 100,bellingham,wa,98226,28,0.5000237232114113
78,a50b49d679e1753ca2c45af3c605481b,nooksack valley food bank,emergency food and food bank for residents of washington state mainly serving whatcom county residents.,,2cba7741ddd9b2bf531a402592ee7e4e,nooksack valley food bank,,,,100 e 2nd street,,everson,wa,98247,79,1.0
79,37b1a6a20c477a2cd6ee752de55310f0,dshs division of child support,establishes and enforces child support and health insurance obligations on behalf of minor dependent children from parents who are not the physical custodians of their children.,http://dshs.wa.gov/dcs,899db6226323bc5ee4e8544cd4a13b83,dshs division of child support in bellingham,,,,4101 meridian street,,bellingham,wa,98226,10,0.5000238126226287
80,2fbc8bcd4d7df909aecab824a329ef12,project hope,"assists individuals and families living with the lynden area (lynden school district boundaries) who are struggling with food insufficiency. community assistance program helps community member with short-term, emergency assistance which may include utilities, rent, clothing, household goods, laundry, and fuel.",https://www.projecthopelynden.org,08c53a46eb60612d0aef5256420dccbf,project hope,,,,205 south british columbia avenue,suite 105,lynden,wa,98264,21,0.5000129343752143
81,eba1af59bf13f2c2fe5c248891c61303,ferndale food bank,"food bank serving the ferndale, custer, and north bellingham areas.",http://www.ferndalefoodbank.org,42502e223c04824f5f22e77504fd5d24,ferndale food bank,,,,1671 main street,wta transfer station property,ferndale,wa,98248,29,0.5000115336317887
82,721ffd9e43190ad6df38a244e11e068b,northwest youth services,"offers housing, street outreach, help finding a job or enrolling in school, connection to mental health services, support for lgbtq youth, restorative justice for juvenile respondents, and referrals to other services in the community. serves young people ages 13-24 experiencing homelessness in whatcom and skagit counties.",http://www.nwys.org/,9f7caf6ea5158ee2ee7d094203823cad,northwest youth services in whatcom,,,,1020 north state street,,bellingham,wa,98225,6,0.5000253177138549
83,2ed186aa835c1fa3ef339f7d5db23214,habitat for humanity in whatcom county,"habitat works in partnership with families in need and community volunteers, businesses, churches and other civic organizations. we repair, build, and sell houses at cost, with no-profit, interest-free mortgages, so that families can live and grow into all that god intends.",http://www.hfhwhatcom.org,c98799cdbf71974c01ccf3a4859e5648,habitat for humanity in whatcom county,,,,1825 cornwall avenue,,bellingham,wa,98225,30,0.5000213124260959
84,2a91b154cc399d6da68189e24c2d0322,re store,"helps homeowners and contractors save money on disposal costs, providing the public with quality used building materials at affordable prices while reducing waste, saving resources and generating jobs.",http://www.re-store.org,8d19baf8bd07800bd9d057c53ebf4ad7,re store - bellingham,,,,2309 meridian st,,bellingham,wa,98225,31,0.5000139476814153
85,c464e5941099ff85b73c95dfb4592b3b,dshs community services offices,"helps people achieve and maintain self-sufficiency by providing financial assistance for food, medical expenses and id cards to those who are eligible. also provides limited cash assistance. additional programs available for refugees, families and people with disabilities.",https://www.dshs.wa.gov/food-cash-medical,3bc4671a2350ce5e5a8184b053f31812,dshs community services office in bellingham,,,,4101 meridian ave,,bellingham,wa,98226,32,0.5000208020210266
86,90b577a8dd5a0189f206d1ec9f9564df,dshs division of vocational rehabilitation,"helps people with disabilities prepare for, obtain and retain employment. works in partnership with the community and businesses to develop employment opportunities for people who have disabilities.",http://dshs.wa.gov/dvr,0fad97a8f47b0a4c23eaef3b9cf50d97,dshs - division of vocational rehabilitation - bellingham,,,,4101 meridian ave,,bellingham,wa,98226,32,0.5000208020210266
87,020d5f8e9de017a2b9c3d37dfdb3e40a,dshs aging and long-term support administrations home and community services,helps vulnerable and dependent adults by funding personal care services in a variety of settings. investigates reports of adult abuse and neglect.,https://www.dshs.wa.gov/altsa/home-and-community-services/agencies-helphcs,f33c6e2bb90b8e3a72f692c8aaec6476,dshs - aging and long-term support administration - home and community services - bellingham,,,,2219 rimland drive,suite 419,bellingham,wa,98226,33,0.5000136794531034
