id,name,alternate_name,description,email,url,tax_status,tax_id,year_incorporated,legal_status,x_option_status,x_staff_notes,x_edit_notes,x_last_complete_update_at
469,Project Hope,,,Projecthope@outlook.com,https://www.projecthopelynden.org/project-hope-food-bank/,,,,,Active,Closed on Major Holidays. Services in Spanish offered-  *Please bring following documents when visiting the food bank:*- Paperwork with you that shows local residence within the Lynden School District.-  Driver's license-  Proof of family size-  State ID*WE ALSO OFFER HELP WITH:*-   Utilities-   Housing- Partial Rental Payment-   Transportation-   Clothing and Household Items-   Laundry Voucher,,2022/02/04
488,Bellingham Unitarian Fellowship - Humanitas Ministry,,"The Humanitas Ministry provides limited financial assistance to residents of Whatcom County who are in need. Typical requests may include a monthly bus pass, groceries, gasoline, camping gear, assistance with utilities, or other necessities.",admin@buf.org,https://www.humanitasministry.org/,,,,,Active,"*Part of a network with other Bellingham faith communities with ""benevolence funds"" including: Bellingham Unitarian Fellowship, Hillcrest Church, Sacred Hearth Catholic Church and St. Paul's Episcopal*.*Description:* Humanitas Ministry provides information on local resources and limited financial assistance to people in need. We work in conjunction with the Opportunity Council and other alms ministries in the Bellingham area offering limited assistance to residents of Whatcom county..We work with local vendors and suppliers who accept our vouchers for purchases. Typical requests may include a monthly bus pass, groceries, gasoline, camping gear, assistance with utilities, or other necessities by arrangement with the vendor.  No cash is involved, and our *typical amount offered per adult is $50.00 or less.*.*How to apply*:Clients may apply for assistance once every twelve months, with a limit of two requests per household. You may do so by calling our direct line at (360) 224-5604 or by completing a form online. We will then contact you by phone to discuss the details of your request. No aid is given until we have spoken with you.Note that our assistance is intended to help only those in deep financial need.",,2022/02/16
532,Foothills Food Bank (Saint Peter’s Church),,,foothillsfoodbankcontact@gmail.com,,,,,,Active,"- Emergency food and groceries for hungry individuals and families- Areas served: Foothills of Whatcom County. Deming, Acme, Maplefalls, Glacier & some Sumas- No eligibility requirements or need for an appointment, drop in during business hoursIndividuals and families are provided a pre-packed box of non-perishable canned and dry goods, according to household size. We also offer fresh and frozen produce, dairy products, meat, proteins, and bread. In addition, we will sometimes offer other items, such as baby food, vitamins, and vegetable starts, as available. Distribution is outside the food bank located at 8255 Kendal Road, Maple Falls 9-11:30 am every Tuesday.",,2021/06/04
548,Laurel Community Baptist Church,,,,,,,,,Active,"The Laurel ShareRoom is a place where individuals in the community can come when they are in need of basic necessities such as clothing, bedding, and dishes and take what they need at no charge. Open every Thursday from 10 am - 2 pm (except holidays). Contact the church office at 360.398.1761 if there is an emergency need and they can arrange a time for you to come in.",,2020/10/06
550,Harmony Elementary School,,This school is part of the Mt Baker School District.,,https://www.mtbaker.wednet.edu/o/harmony,,,,,Active,"Kaleidoscope Play & Learn is an organized playgroup open to all children ages 0 - 5 with their parents, grandparents, aunts and uncles and other family and friends who take care of them. Group follows the school district calendar.",,2022/01/24
561,Kendall Elementary School,,This elementary school is part of the Mt. Baker School District.,,https://www.mtbaker.wednet.edu/o/kendall,,,,,Active,"- Hosting Organization, Mt. Baker School District- Kaleidoscope Play & Learn is an organized playgroup open to all children ages 0-5 with their parents, grandparents, aunts and uncles and other family and friends who take care of them. Group follows the school district calendar.",,2022/01/24
667,Whatcom County Dental Resource List,,,waha@hinet.org,,,,,,Active,Clinics listed are *adult* dental clinics that offer discounts and/or accept Medicaid & dental programs that link patients to dental care,,2020/10/07
678,Birchwood Elementary,,,,,,,,,Active,,,2018/05/09
719,Ferndale School District,,,,,,,,,Active,"Pre-Covid: Meets Mon 10:15am – 12:00pm*Free for children 0 – 5**English, Punjabi, Russian & Spanish speaking group*Hosted by the Ferndale School District & meets October to the first week of JuneThe group is open to families/caregivers and children in their care, birth – 5 years old. We sing, play, and learn together using a variety of materials and activities! Group meets October through the first week of June.",,2018/04/26
728,Nooksack Valley Food Bank,,,,,,,,,Active,"HOURS: Thurs 10:00am - 2:00pm      Closed: Holidays.- Anyone living in Everson, Nooksack, or Sumas (or Nooksack Valley School District)- No application needed, must show address verification- Emergency food and groceries for hungry individuals and families",,2021/06/17
734,Satellite Food Bank at Christ the King Community Church,,,nfo@bellinghamfoodbank.org,,,,,,Active,"If you need food and live in Bellingham, we are here to help. Anyone living in Bellingham can visit our food bank twice a week. You don’t need to sign up in advance—just bring a recent piece of mail.",,2019/12/31
767,Whatcom Taking Action,,"Provides phone screening, intake & referrals for children with special health care needs.",erin_king-luce@oppco.org,https://whatcomtakingaction.org/,,,,,Active,"Single Entry Access to Services (SEAS) offers fast, easy access to services for kids ages birth to 21 who need specialized care and support (and their families). You may be asking:•Is my child on track developmentally?•Where can I go for help with behavior problems or trouble in school?•Where can I find specialized care?•How can I find help paying for my child’s extra care?•Where can I find support? Call SEAS at (360) 715-7485*Your SEAS care navigator...*... will listen to you with patience and sensitivity, knowing that every person and family is different.... will respect your time as you navigate the system, providing guidance and moral support every step of the way.... will do their best to ensure all local kids and families receive the extra services and support they need.- Also offers a 54 page resource directory for Whatcom County, which can be mailed or emailed to clients from their website. (A few pages offered in Spanish)",,2022/06/01
811,Washington Hands and Voices,,,info@wahandsandvoices.org,,,,,,Active,"*Washington Hands & Voices Support Group* is a confidential Facebook group that welcomes parents and caregivers of children who are Deaf, Deaf-Blind, Deaf Plus and Hard of Hearing. We honor and support all communication opportunities, methods and modalities, as well as decisions families must make to support their child’s individual and unique needs. Our motto is, “What works for your child makes the choice right.”_*Guide By Your Side Program* connects families across the state with one-on-one support given by a trained parent (who also has a child who is deaf of hard of hearing). Parent Guides work with parents of children with hearing loss ages birth-21 years.Guide By Your Side Coordinator:  Christine GriffinE-mail: GBYS@WAhandsandvoices.orgPhone: 425-268-7087Fax: 360-715-9970",,2020/07/10
829,Lydia Place,,,,https://lydiaplace.org/,,,,,Active,"*Parents as Teachers:* home visiting services are available to families residing in all areas of Whatcom County:Bellingham: 98225, 98226, 98227, 98228, 98229Blaine: 98230, 98231Ferndale: 98248Nooksack: 98276Maple Falls: 98266Custer: 98240Everson: 98247*Other Services:*Lydia Place is a nonprofit, community-based agency serving homeless families since 1989. Lydia Place is an active participant in our community’s effort to end homelessness in Whatcom County.What we do:-   Six month Transitional Housing Program-   Permanent Supportive Housing Placements-   Intensive Case Management-   Advocacy and Education-   Life Skills Classes-   Community resource referrals*Parent Support Program & Family Connections:*In addition to the home-visiting services offered through PAT and short-term individualized parent support, the Parent Support Program provides monthly Group Connections. Group Connections are opportunities for our parenting families to come together, build community, make healthy connections, enjoy family activities, and engage in group learning. Group Connections rely on the generosity and support of many individuals, groups, and organizations in our community to deliver creative, high quality programs and activities throughout the year.",,2022/05/23
961,Bellingham Parks & Recreation,,,,,,,,,Active,*Specialized Recreation Services:* Bellingham Parks & Rec is committed to providing quality opportunities to all members of the community. We recognize that making our services and facilities accessible for people with disabilities helps build a positive community.  Services include:- Programs designed for individuals who have a disability- Inclusion support for individuals with disabilities wishing to participate in any program offered- Liaison to community groups serving individuals with disabilities.- Please note accommodation needs at registration,,2020/03/31
962,Hillcrest Church,,,Cynthia.J@HCBellingham.com,,,,,,Active,"*Part of a network with other Bellingham faith communities with ""benevolence funds"" including: Bellingham Unitarian Fellowship, Hillcrest Church, Sacred Hearth Catholic Church and St. Paul's Episcopal*.Provides emergency financial assistance for gas vouchers, food, utilities, and other emergency needs. Rental assistance not (typically) available.Call for information.*Food Bank*A typical food bag contains:- 2 cans of  vegetables- 2 cans of tuna- 2 cans of soup- 1 can of pasta sauce- 1 bag of pasta- 1 ramen noodle- 1 macaroni & cheese- 1 bag of rice- 1 bag of oatmealOther Items distributed depending upon availability are: cheese, eggs, bread and fresh produce, depending on the season.(*all items are subject to revision upon availability)We also have additional miscellaneous food items, cleaning supplies, paper products, and hygiene supplies.",,
999,Northwest Regional Council,,"You must be enrolled in Apple Health (Medicaid) in San Juan, Skagit, Island, or Whatcom County, and your transportation needs must be for a medical appointment such as: dialysis, OB, medical, dental, scheduled COVID-19 vaccines appointments, etc.Pease call at least at least 7-14 days before of your appointment. If you request transportation less than 2 business days before your appointment, they may not be able to schedule transportation for you.Trips are paid by client’s Medicaid coverage.The most common types of transportation available include:- Bus tickets and passes- Gas vouchers- Intercity buses (such as Greyhound)- Wheelchair van/cabulance- Ferry tickets- Air & water taxi- Taxi- Uber",nwrcrides@dshs.wa.gov,,,,,,Active,"- Customer Services Representatives (CSRs) at the NWRC office are available from 8:30 a.m. to 4:30 p.m. Monday – Friday to receive calls from people who need transportation to covered medical appointments. After hours or on the weekends an answering machine will take messages about requests for upcoming trips. People should call at least two business days before their medical appointment. All calls are toll free.- When making a request, people will provide information to NWRC Customer Service Representatives about their Medicaid eligibility, type of trip needed, and other transportation resources available. NWRC CSRs will then authorize and arrange the lowest cost, most appropriate form of transportation for the particular trip requested.",,2021/07/02
1082,Rebound Families (Whatcom County),,,shelli@reboundfamilies.org,,,,,,Active,"Roots Family Connection ProgramRoots is a year-round program that runs for eight weeks, four quarters per year. The program is *specifically designed for families facing difficult life circumstances and parents who desire to develop family-building skills.*  Classes are held one evening per week in Bellingham and Everson, and includes a hot meal.  The Program, and the meal, are free of charge.Ray of Hope Summer Day ProgramRay of Hope is a summer day program unlike any other – offering arts and crafts, recreation, field trips, and artistic enrichments to kids ages 5 – 12.Ray of Hope strives to introduce empowering social and behavioral skills through story, activities, and relationship-building.  Attending the entire six weeks, Ray of Hope is for kids who most need, yet seldom experience, a holistic, well-staffed, fun and safe summer!Family Advocacy SupportRebound acts as a collaborative bridge between state agencies, schools, community-based services, the legal system, and churches.Through Family Advocacy Support, we are able to strengthen connections with each family participating in our programs by providing a single access point between Rebound and other social services.",,2022/04/13
1089,Point Roberts Food Bank,,,rosentl@pointroberts.net,,,,,,Active,- Home delivery is available up to 7 days a week for those who are homebound.- May offer clothing in the fall & winter months- Run by volunteers at the Trinity Community Lutheran Church- No documentation necessary- Must live in the Point Roberts community.,,2020/02/20
1156,Bellingham Public Library,,,,,,,,,Active,"Storytime and facilitated play experience for young children and the adults who take care of them. Stories, songs, play and activities!",,2020/03/31
1181,Ferndale Community Service Cooperative - Resource Center,,,,,,,,,Active,"- The clothing bank offers clothing free of charge. You may be able to get infant clothing, shoes, school clothing, winter clothing, work clothes, and maternity items.- The Community Resource Center's ""Other Bank"" offers hygiene items [including diapers, sizes cannot be guaranteed] to families with children who qualify for free and reduced lunch in the Ferndale School District. Qualifying families can drop in once a month on Tuesday morning to receive free hygienic items for their family.",,2020/09/30
1183,Satellite Food Bank at Alderwood Elementary,,,info@bellinghamfoodbank.org,,,,,,Active,"- If you need food and live in Bellingham, we are here to help. Anyone living in Bellingham can visit our food bank twice a week. You don’t need to sign up in advance—just bring a recent piece of mail.",,2019/12/31
1224,Bellingham Technical College,,,registration@btc.ctc.edu,,,,,,Active,"- Call the registrars office Mon - Thurs 8:00am - 5:00pm & Fri 8:00am - 4:00pm or register online. Other options are by fax or walk-in at the College Services Building.- *Some childbirth classes are covered by Medicaid/First Steps:*  Please fill out the ""Childbirth Waiver"" form when registering or complete the online waiver form available at www.btc.edu/ChildbirthWaiver.*Sample of Childbirth classes available:*- *Pregnancy & Childbirth:* accepts Apple Health for payment- Childbirth & Parenting- *Childbirth prep: Weekend Condensed:* accepts Apple Health for payment- Understanding birth eClass (both in-person & online)- Childbirth: VBAC, exploring options- Breastfeeding Basics & Beyond- Hypnobirthing- Weekend Childbirth Class*Parenting Classes & Groups:*- Baby 'N Me: (1-7 months & 8-12 months)- Moms, Dads & Babies- Raising Toddlers & Preschoolers- More Than One (0 - 5 years)- Exploring with Toddlers- Parenting with Love & Logic- Raising School Age Children- Raising Teens- Love & Logic for Successful Parenting- Positive Discipline- Parenting Forward in your Stepfamily Journey- Guiding Youth Toward Integrity & Sexual Health",,2022/05/17
1230,St. Paul Episcopal Church - Alms Ministry,,,office@stpaulsbellingham.org,,,,,,Active,"*Part of a network with other Bellingham faith communities with “benevolence funds” including: Bellingham Unitarian Fellowship, Hillcrest Church, Sacred Hearth Catholic Church and St. Paul’s Episcopal*.The Alms Ministry at St. Paul Episcopal Church provides vouchers for small amounts of financial help for food and gas. Households may typically receive assistance once per calendar year.",,
1281,Hope House,,,cheriw@ccsww.org,,,,,,Active,"Sharing Shop - The Sharing Shop is a clothing and house wares redistribution center without cost to people in need.Above and Beyond Shop - The Above and Beyond Shop provides hygiene, personal care, diapers, school supplies, lightbulbs, soaps and supplies which cannot be purchased with food stamps.The Pantry - The Pantry provides emergency food supplies for those in need during the times when the Bellingham Food Bank is not open.",,2020/10/06
1378,Lummi Tribal Health Center,,,,https://www.lummi-nsn.gov/Website.php?PageID=433,,,,,Active,"The mission of the Lummi Tribal Health Center is to raise the health status of the Lummi people, other American Indian, and Alaska Natives to the highest possible level. To carry out this mission, the LTHC will provide comprehensive health care including hospital, outpatient, medical, dental, mental health, preventive healthcare and public health services.",,2022/07/11
1383,Down syndrome Outreach of Whatcom County,,,,,,,,,Active,"Down syndrome Outreach (DsO) is a volunteer committee and a program of The Arc of Whatcom County.The mission of Down syndrome Outreach is to advocate for the rights, promote the potential and abilities, and create a supportive and inclusive community for people with Down syndrome. Learn more about DsO by clicking here.  Providers can make referrals to our programs using The Arc Referral Form.-   Learn about Down syndrome-   Community Partners for Support// Socios de la Comunidad-   New Family Information-   Join the Buddy Walk-   DsO Lending Library*Down syndrome Outreach programs include:*-  New Baby Kit-  New Family Reception-  Lending Library-  Educational & Advocacy Workshops-  Buddy Walk in October-  May Spring Fling-  Summer Gatherings in Whatcom County’s Parks-  Other social events & support opportunities",,2016/07/19
1395,Ferndale Food Bank,,,Director@ferndalefoodbank.org,,,,,,Active,"- The Ferndale Food Bank serves low-income, homeless, elderly, and transient or stranded people within its service area.- Please bring a piece of identification (simply your photo with your name) and a Ferndale or Custer area utility bill containing your address with a zip code 98226, 98230, 98231, 98240, or 98248.- We are located east of Exit 262 behind Whatcom Transit Authority Park and Ride, in the back right-hand corner of the WTA's parking lot.You will see the Ferndale Food Bank sign at the entrance to the WTA parking lot.",,2020/04/22
1406,Nooksack Medical Clinic (Everson),,,,,,,,,Active,"The Medical Clinic is an ambulatory clinic that provides on-site, acute and preventive health care to the Nooksack Indian Tribe and eligible members of federally recognized Tribes. The Nooksack Tribal Clinic services includes: Family Medicine, Pediatric, Obstetrics and Gynecology, Family Planning, Women’s Health, Diabetes Screening and Testing, Nutrition Education, and Community Health and Nurse health care practices.",,2020/10/05
1412,Bellingham Food Bank,,,info@bellinghamfoodbank.org,https://www.bellinghamfoodbank.org/,,,,,Active,"- If you need food and live in Bellingham, we are here to help. Anyone living in Bellingham can visit our food bank once a week. You don’t need to sign up in advance—just bring a recent piece of mail.Food DistributionsFolks may visit twice per week and may choose among all locations which they visit. They will join a car queue and when it’s their turn, volunteers will provide pre-packed food boxes without requiring person to person contact. There will be a bike or walk-up option as well. Pick up for up to 2 families per visit, no paperwork required.",,2022/03/17
1440,Sendan Center,,,,,,,,,Active,"- *Insurance info:* Sendan Center is only a preferred provider with Regence (and HMA, which uses Regence providers), Premera (and Lifewise, which is a part of Premera), and Kaiser Permanente. If you provide us with complete and accurate information, we will bill those insurance companies for you. Some of our providers also accept Molina and HCA Fee-For-Servicefor autism diagnosis evaluations and treatment (such as speech-language-communication therapy specific to an autism diagnosis).- *Ages served:* Ages 2-18 (typical age is 4-15)- *Wait List:* About 6 months (Evaluation slots are limited)- *Regions Served:* Whatcom, Skagit & Island Counties- *Types of services:*•Psychology•Speech and Language Pathology•ABA therapy•Psychiatric Services- Center of Excellence: yes",,2020/07/29
1540,Opportunity Council (Whatcom & San Juan),,,info@oppco.org,https://www.oppco.org/,,,,,Active,"*Please CREATE A FOLLOW-UP activity (assigned to Libby) for any home visiting referrals added to the cart.*Opportunity Council provides services in the following areas: Basic Needs, Child Care Resources, Food/Nutrition, Home/Energy, Housing, Infants/Toddlers, Job Skills/Mone Management, Preschool & Education. Examples include:.*Early Head Start:*- Serves pregnant women, children ages birth to three and their families. Services include prenatal education, health and nutrition services, family development support, and home visits focusing on child development and quality early education. This program is for income eligible families.*Community Services Programs & Services:*- Community Resource CenterConnects people with community resources to help meet basic needs such as food and housing; including requests for emergency shelter, rental assistance, referrals for affordable housing and problem solving help with landlord/tenant issues.*Community Voice Mail:*Through our partnership with Springwire, we offer Community Voice Mail to provide people in need with a personal, local, seven-digit phone number and voice mail box. Participants can create a professional greeting for callers, and retrieve their messages from any touchtone phone 24 hours a day, 7 days a week.*Work First Employment Programs:*Provides skill development and training as an avenue to permanent jobs for TANF (Temporary Assistance to Needy Families) recipients.*School Backpack Bank:*Community donations provide backpacks for children who are homeless or in very low-income families.*Financial Literacy and Renter Education (F.L.A.R.E.)*A community class designed to provide knowledge on how to save, spend and budget money along with basic skills on how to become a competent renter. Also Whatcom Asset building Coalition located here.*Housing Programs:* Dorothy Place (transitional housing for single women and women with children who are survivors of domestic violence), homeless housing, Marjie’s House (provides both short-term and transitional housing for women and children) & e Supportive Services for Veteran Families (SSVF) program: provides housing and support services to those who have served in active military, naval or air service and their families.",,2022/03/29
1570,Sacred Heart Church / St Vincent de Paul (Bellingham),,,reception@shbham.org,,,,,,Active,"*Part of a network with other Bellingham faith communities with ""benevolence funds"" including: Bellingham Unitarian Fellowship, Hillcrest Church, Sacred Hearth Catholic Church and St. Paul's Episcopal*.-  Provides small amounts of financial help for food and gas voucher (one-time).-  Sacred Heart Church staff refers the applicant to St. Vincent de Paul volunteer and the volunteer in turn gets in touch with the applicant, which takes 24-48 hours.",,2020/12/07
1679,Salvation Army (Bellingham),,,,,,,,,Active,Service Description- Emergency food supply for those in need. Whatcom County residents are helped twice a month.- Please bring photo ID and proof of address- Serves Whatcom County residents,,2021/06/01
1685,Arc of Whatcom County,,,admin@arcwhatcom.org,,,,,,Active,"Current Programs:-  *Educational Programs & Workshops* : Topics include guardianships and special needs trusts, long-term planning for special needs families, special health care needs, special education services, early learning issues, individual education plans, transition from high school to work, residential issues and concerns, legislative advocacy, self-empowerment and self-advocate training.-  *Parent Coalition:* Public Education, Legislative Advocacy, Family Support (families can work with a trained advocate to get extra support), Workshops-  *Young Adult Self Advocacy* helps young adults with developmental disabilities become strong self-advocates. Self-advocates are people with disabilities who speak up for themselves and others. Goals:+    Learning valuable communication and advocacy skills+    Gaining the tools and confidence to express personal needs and build healthy relationships+    Getting involved with the community-  *Down syndrome Outreach:* The mission of Down syndrome Outreach (DsO) is to advocate for the rights, promote the potential and abilities, and create a supportive and inclusive community for people with Down syndrome-   *Legislative Advocacy*",,2020/09/11
1729,Catholic Community Services (Whatcom County),,,,,,,,,Active,"*Counseling/Mental Health Services:* CCS provides community mental health services to Medicaid eligible children and their families in Whatcom, Skagit and Snohomish Countyies. After an initial assessment and determination of need for ongoing help, core mental health services available at CCS include individual and/or family counseling/therapy, medication evaluation/management and coordination with primary care physicians, and case management.  CCS also provides groups for children and adolescents that focus on managing behaviors and emotions, and developing self-care and interpersonal relationship skills.*Substance Abuse Treatment:* The CCS NW Recovery Centers provide a full continuum of outpatient chemical dependency treatment services in Snohomish and Whatcom counties. CCS provides treatment to youth, adults, and their families.*Adoption Resources & post-abortion counseling/support*",,2022/04/13
1752,Compass Health (Bellingham - McLeod Rd),,,,,,,,,Active,"Compass Health is a private, non-profit, state licensed organization providing mental health and chemical dependency services. Accepts Apple Health (Medicaid) and may offer a sliding fee scale in some cases.*Services offered:*-   Adult Intensive Outpatient Program (IOP)-   Group Therapy - Adults-   Psychiatric Services-   Older Adult Services-   *Child and Family Outpatient Services:*Compass Health provides an array of counseling and support services to families with children and youth who may have emotional and or behavioral challenges.  Compass Health services are designed to promote positive changes in behavior, help the child /youth and family learn appropriate coping skills, improve communication skills including learning to resolve conflict and manage emotions in a healthy manner.  Families seek counseling for a variety of reasons. Sometimes circumstantial life changes can bring about symptoms of depression, anxiety, and mood disorders which impede the child or youth’s everyday life.  Youth may have challenges at school, with peers, or in the community.  Problems related to traumatic experiences which often impact the child, youth and/or their family often initiates the request for counseling in an effort to relieve painful feelings.-   Offender Re-entry Community Safety Program (ORCSP)-   Adult Outpatient Services-   Older Adult Services/Expanded Community Services of Older Adults (ESCOA)",,2020/03/06
1761,Sea Mar Community Health Center (Everson),,,,https://www.seamar.org/whatcom-medical-everson.html,,,,,Active,"Accepts Medicaid & offers a sliding fee scale.*Services:*-  Family Medicine-  Pediatric, adolescent, adult and-  Geriatric care-  Obstetrics-  Internal medicine-  Chronic disease management-  Industrial/occupational health care-  Acute/same-day services-  In-house laboratory services-  Health education-  Immunizations-  Well-child checks-  Physical exams-  Care coordination",,2022/06/03
1763,Sea Mar Community Health Center (Downtown Bellingham WIC),,,,,,,,,Active,,,2021/05/12
1796,Sea Mar Community Health Center (Ferndale),,,,,,,,,Active,Teresa Coster    teresacoster@seamarchc.org    360-788-7152,,2021/05/12
1804,Sea Mar Community Health Center (Bellingham),,,,https://www.seamar.org/whatcom-medical-bellingham.html,,,,,Active,"*Medical Services:*- Family medicine- pediatric, adolescent, adult and geriatric care- obstetrics- Chronic disease management- Industrial/occupational health care- Acute-care services- In-house laboratory services- Family planning- Health education- Immunizations- Well-child checks- Nutrition counseling- WIC (Women, Infants, Children), Electric & manual pumps provided at no charge for WIC clients and home visits may be available.*Maternity Support Services (MSS) and Infant Case Management:*- Medicaid-eligible pregnant women receive support and information related to pre-natal and post-partum health, and the care of their newborn.- Nurses, social workers, and community health workers support expectant mothers before birth and after birth for two months.- All services are covered by the Apple Health at no cost to clients.- Families may also be eligible for Infant Case Management, a program that provides support and services to infants from 3- to 12-months old.- Services are offered in the client's home (home visits) or in the providers office.- Care coordination- Dental services- Outpatient mental health & substance abuse- Inpatient substance abuse treatment- Refugee screening*This clinic also offers:*-   Health care for the homeless & migrant outreach-   *Prescription assistance:* for to low-income clients/patients, or those who have no income or insurance to cover the prescriptions.-   *Bus and shower passes:* For homeless clients and medical/dental patients who need help attending appointments-   *Food Vouchers:* for clients who meet eligibility criteria-   *Community Voice Mail*-   *Shelter Outreach Services:* medical and case-management services for local shelters.-   *Migrant Outreach Services:* medical and health outreach and assistance for migrant populations during summer months.-   *Case Management:* services for homeless families, including financial eligibility/entitlement assistance, assistance with translating documents, i.e., job applications, mail, DSHS paperwork, school enrollment paperwork.",,2022/06/03
1820,Sea Mar Community Health Center (Bellingham Behavioral),,Offers comprehensive case management and behavioral health services for adults and children.,,https://www.seamar.org/whatcom-bh-bellingham.html,,,,,Active,Accepts Medicaid/WA Apple Health (including ADATSA) & offers a sliding fee scale.*Mental Health Services:*·    Assessments for mental health clients·    Case management and community outreach for adults and children·    Psychiatric medication assessments and management for adults·    Individual therapy·    Group therapy*Chemical Dependency Services (Adults):*·    Drug and alcohol evaluations (English and Spanish)·    DUI assessments·    Deferred prosecution·    Relapse prevention·    Monthly monitoring·    Aftercare·    Intensive outpatient treatment·    Women’s group,,2022/06/08
