name,desc,url,address_1,address_2,city,state,postal,country,type_row,region,duplicate_id,duplicate_type,training_set_num
whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,509 girard street,,bellingham,wa,98225,us,physical,whatcom,,,1
whatcom county health departmedt,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://whatcomcounty.us/360/health-department,509 girard str,,bellingham,wa,98225,us,physical,whatcom,51,mangled_name|mangled_address_1|mangled_url,1
whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,1500 north state street,,bellingham,wa,98225,us,physical,whatcom,,,1
whacomlcounty health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,www.whatcomcounty.us/a60/hewlth-deparnment,1500 north state street,,bellingham,wa,98225,us,physical,whatcom,53,mangled_name|mangled_url,1
whatcom county health department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/health-department,4255 mitchell way,,bellingham,wa,98226,us,physical,whatcom,,,1
whatcom county ealth department,to lead the community in promoting health and preventing disease by providing opportunities for the people in the community to thrive in a safe and healthy environment.,http://www.whatcomcounty.us/360/hvalth-department,,,bellingham,wa,98226,us,physical,whatco,55,mangled_name|mangled_address_1|mangled_url|mangled_region,1
bellingham & whatcom county housing authorities,the housing authority of the city of bellingham is a local government agency that serves thousands of residents in whatcom county. the bellingham housing authority and the whatcom county housing authority work together to provide needed housing in our community.,http://www.bellinghamhousing.org,208 unity st,,bellingham,wa,98225,us,physical,whatcom,,,1
bellinghamk& whatcom county hosing authorities,the housing authority of the city of bellingham is a local government agency that serves thousands of residents in whatcom county. the bellingham housing authority and the whatcom county housing authority work together to provide needed housing in our community.,http://bellinghamhousing.com,208 unity st,,bellingham,wa,98225,us,physical,whatcom,57,mangled_name|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,311 grand avenue,suite 501,bellingham,wa,98225,us,physical,whatcom,,,1
whatcom county corys,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,311 grand ave,suite 501,bellingham,wa,98225,us,physical,whatcom,59,mangled_name|mangled_address_1,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,1020 north state street,,bellingham,wa,98225,us,physical,whatcom,,,1
whateom county courts,civil and criminal courts.,http://www.courts.wa.com/court_dir/orgs/296ghtmot,1020 north state street,,bellingham,wa,98225,us,physical,whatcom,61,mangled_name|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,311 grand avenue,suite 301,bellingham,wa,98225,us,physical,whatcom,,,1
whatcomcounty courts,civil and criminal courts.,htdp://www.courts.wa.com/court_dir/orgs/29j.hmml/,,suite 301,bellingham,wa,98225,us,physical,whatcom,63,mangled_name|mangled_address_1|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,311 grand avenue,suite 401,bellingham,wa,98225,us,physical,whatcom,,,1
whatcom county courts,civil and criminal courts.,http://cofrts.wa.gov/court_dir/orgs/296.htmw,,suite 401,bellingham,wa,98225,us,physical,whatcom,65,mangled_address_1|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,2014 c street,,bellingham,wa,98225,us,physical,whatcom,,,1
whatcomceunty courts,civil and criminal courts.,http://courts.wa.gov/courl_dir/orgs/296.html,2014 c st,,bellingham,wa,98225,us,physical,whatcom,67,mangled_name|mangled_address_1|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,435 martin st,suite 4000,blaine,wa,98230,us,physical,whatcom,,,1
whatcom county cgurjs,civil and criminal courts.,http:k/www.courts.wa.gov/court_dir/orgs/296.html/,435 martin st,suite 4000,blaine,wa,98230,us,physical,whatcom,69,mangled_name|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,111 w main st,,everson,wa,98247,us,physical,whatcom,,,1
whatcom count courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html/,,,everson,wa,98247,us,physical,whatcom,71,mangled_name|mangled_address_1|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,5694 2nd avenue,,ferndale,wa,98248,us,physical,whatcom,,,1
whatcom county ourts,civil and criminal courts.,hetp://www.courts.wa.gov/court_dir/orgsg296.html,5694 2nd avenue,,ferndale,wa,98248,us,physical,whatcom,73,mangled_name|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,205 4th street,,lynden,wa,98264,us,physical,whatcom,,,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/29u.html,205 4th st.,,lynden,wa,98264,us,physical,whatcom,75,mangled_address_1|mangled_url,1
whatcom county courts,civil and criminal courts.,http://www.courts.wa.gov/court_dir/orgs/296.html,433 cherry street,,sumas,wa,98295,us,physical,whatcom,,,1
whatcom county aourts,civil and criminal courts.,http://www.courts.wa.com/court_diz/orgs/296bhtml,433 cherry str,,sumas,wa,98295,us,physical,whatcom,77,mangled_name|mangled_address_1|mangled_url,1
whatcom county sheriff's office,law enforcement agency.,http://www.co.whatcom.wa.us/sheriff/,311 grand avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
whatcm county sheriff's office,law enforcement agency.,http://www.co.whatcom.wa.us/sheriff/,311 grand avenue,,bellingham,wa,98225,us,physical,whatcom,79,mangled_name,1
lydia place,the mission of lydia place is to disrupt the cycle of homelessness and promote sustained independence for current and future generations.,http://www.lydiaplace.org,1701 gladstone street,,bellingham,wa,98229,us,physical,whatcom,,,1
lydia place,the mission of lydia place is to disrupt the cycle of homelessness and promote sustained independence for current and future generations.,http://wfw.lydiaplace.org/,1701 gladstone street,,bellingham,wa,98229,us,physical,whtcom,81,mangled_url|mangled_region,1
vietnam veterans of america #165,services for veterans of vietnam and the vietnam-era and their families.,http://www.vva165.org,625 north state street,,bellingham,wa,98225,us,physical,whatcom,,,1
vietnam veterans of americaq#165,services for veterans of vietnam and the vietnam-era and their families.,http://vva165.org,625 north state street,,bellingham,wa,98225,us,physical,whatcom,83,mangled_name|mangled_url,1
blaine food bank,community food bank that offers food to anyone in need.,https://www.blainefoodbank.org,500 c street,,blaine,wa,98230,us,physical,whatcom,,,1
blasne food bank,community food bank that offers food to anyone in need.,http://www.blainefoodbahk.org/,,,blaine,wa,98230,us,physical,whatcom,85,mangled_name|mangled_address_1|mangled_url,1
brigid collins family support center,"works to end child abuse in both whatcom and skagit counties. connects with local law enforcement jurisdictions, prosecuting attorneys, medical providers, child protection workers and therapists from both counties.",http://www.brigidcollins.org,1231 north garden street,suite 200,bellingham,wa,98225,us,physical,whatcom,,,1
brigid codlins family support cener,"works to end child abuse in both whatcom and skagit counties. connects with local law enforcement jurisdictions, prosecuting attorneys, medical providers, child protection workers and therapists from both counties.",http://www.brigidcollins.org,1231 north garden street,suite 200,bellingham,wa,98225,us,physical,hatcom,87,mangled_name|mangled_region,1
whatcom humane society,"advocate for animals by educating the community to promote humane treatment and respect for animals and provide for abandoned, injured, abused or neglected animals.",http://www.whatcomhumane.org,2172 division street,,bellingham,wa,98226,us,physical,whatcom,,,1
,"advocate for animals by educating the community to promote humane treatment and respect for animals and provide for abandoned, injured, abused or neglected animals.",http://wmw.whatcomhumane.com,,,bellingham,wa,98226,us,physical,whytcom,89,mangled_name|mangled_address_1|mangled_url|mangled_region,1
interfaith coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,495 east bakerview road,,bellingham,wa,98226,us,physical,whatcom,,,1
interfaih coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,495 east bakerview rd,,bellingham,wa,98226,us,physical,whatcom,91,mangled_name|mangled_address_1,1
interfaith coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coalition.org,400 north commercial street,,bellingham,wa,98225,us,physical,whatcom,,,1
interfaith coalition of whatcom county,interfaith coalition collaborates with agencies and faith communities to fill gaps in human services and to meet housing and other needs of marginalized people.,http://www.interfaith-coaliteon.orgv,,,bellingham,wa,98225,us,physical,whatcom,93,mangled_address_1|mangled_url,1
northwest braille services,a non-profit agency providing braille services.,,6162 aquarius avenue,,ferndale,wa,98248,us,physical,whatcom,,,1
nortwest brailla services,a non-profit agency providing braille services.,,6162 aquarius avenue,,ferndale,wa,98248,us,physical,whatcom,95,mangled_name,1
boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,1715 kentucky street,,bellingham,wa,98229,us,physical,whatcom,,,1
boys and girls clubsrf whatcom couty,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org/,1715 kentucky st,,bellingham,wa,98229,us,physical,,97,mangled_name|mangled_address_1|mangled_url|mangled_region,1
boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,2015 cherry street,,ferndale,wa,98248,us,physical,whatcom,,,1
boys nd girls clubs of watcom county,provides affordable after school youth services in whatcom county.,www.whatcomclubs.org/,2015 cherry street,,ferndale,wa,98248,,physical,whatcom,99,mangled_name|mangled_url|mangled_country,1
boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,8800 bender road,,lynden,wa,98264,us,physical,whatcom,,,1
boys and girls clubsof whatcomcounty,provides affordable after school youth services in whatcom county.,http://whatcomclubs.org,8800 bender road,,lynden,wa,98264,us,physical,whatcom,101,mangled_name|mangled_url,1
boys and girls clubs of whatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,635 8th street,,blaine,wa,98230,us,physical,whatcom,,,1
boys andgirls cluby ofvhatcom county,provides affordable after school youth services in whatcom county.,http://www.whatcomclubs.org,,,blaine,wa,98230,us,physical,whatcom,103,mangled_name|mangled_address_1,1
we care of whatcom county,"provides inexpensive clothing, furniture and housewares to residents of whatcom county.",,3550 meridian street,suite 2,bellingham,wa,98225,us,physical,whatcom,,,1
we eare of whitcmkcounty,"provides inexpensive clothing, furniture and housewares to residents of whatcom county.",,,suite 2,bellingham,wa,98225,,physical,whatcom,105,mangled_name|mangled_address_1|mangled_country,1
hope house,"hope house is a multi-service center and collaborative effort between multiple non-profit agencies to provide clothing, housewares, emergency food,  hygiene, personal care, diapers, school supplies, flashlights, soaps and supplies for those in need.",https://www.assumption.org/hope-house.html,207 kentucky street,,bellingham,wa,98225,us,physical,whatcom,,,1
hope house,"hope house is a multi-service center and collaborative effort between multiple non-profit agencies to provide clothing, housewares, emergency food,  hygiene, personal care, diapers, school supplies, flashlights, soaps and supplies for those in need.",https://www.assumption.org/hope-housw.html,207 kentucky street,,bellingham,wa,98225,us,physical,whatcom,107,mangled_url,1
whatcom county pregnancy clinic,"provides services for educating, equipping, and empowering individuals and families facing an unplanned pregnancy by offering a compassionate and confidential environment for patients to be heard and to receive accurate information and medical care.",http://www.whatcomclinic.com,1310 north state street,,bellingham,wa,98225,us,physical,whatcom,,,1
whatcomcounty pregnancy clinic,"provides services for educating, equipping, and empowering individuals and families facing an unplanned pregnancy by offering a compassionate and confidential environment for patients to be heard and to receive accurate information and medical care.",http://whatcomclinic.com,,,bellingham,wa,98225,,physical,whatcom,109,mangled_name|mangled_address_1|mangled_url|mangled_country,1
new way ministries,"a non-profit faith based organization that provides transitional housing for women and their children.  a program designed to assist families in crisis by providing stable housing, dependable income and resources for help and encouragement.",http://www.christianhopeassociation.org,205 south british columbia avenue,,lynden,wa,98264,us,physical,whatcom,,,1
new way ministries,"a non-profit faith based organization that provides transitional housing for women and their children.  a program designed to assist families in crisis by providing stable housing, dependable income and resources for help and encouragement.",http:a/wjw.cgristianxopeassociation.com,205 south british columbia ave,,lynden,wa,98264,us,physical,whatcom,111,mangled_address_1|mangled_url,1
catholic community services of western washington in whatcom county,"provides social, mental health and chemical dependency services to residents of whatcom county.",http://www.ccsww.org,1133 railroad avenue,suite 100,bellingham,wa,98225,us,physical,whatcom,,,1
catholic communitt services of western washington in whatcom counly,"provides social, mental health and chemical dependency services to residents of whatcom county.",http://www.ccsww.com,1133 railroad ave,suite 100,bellingham,wa,98225,us,physical,whatcgm,113,mangled_name|mangled_address_1|mangled_url|mangled_region,1
catholic community services of western washington in whatcom county,"provides social, mental health and chemical dependency services to residents of whatcom county.",http://www.ccsww.org,515 lakeway drive,,bellingham,wa,98225,us,physical,whatcom,,,1
cotholic cmmunity service of wesfern washington in watcom county,"provides social, mental health and chemical dependency services to residents of whatcom county.",www.ccsww.com/,515 lakeway dr,,bellingham,wa,98225,us,physical,whatcom,115,mangled_name|mangled_address_1|mangled_url,1
pflag whatcom,"a volunteer group providing support, education and advocacy for lgbtq+ people, their family and friends.",http://www.whatcompflag.org,405 east holly street,,bellingham,wa,98225,us,physical,whatcom,,,1
pfpag whatcom,"a volunteer group providing support, education and advocacy for lgbtq+ people, their family and friends.",http://www.whatcompflag.org,,,bellingham,wa,98225,us,physical,whatcom,117,mangled_name|mangled_address_1,1
"work opportunities, inc.","an agency which provides vocational rehabilitation and employment services to persons with mental, physical, emotional and sensory disabilities, so they might obtain the training and employment experiences they need to achieve economic self-sufficiency.  www.workopportunities.org",http://www.workopportunities.org,192 east bakerview road,#202,bellingham,wa,98226,us,physical,whatcom,,,1
"work opportunities, inc.","an agency which provides vocational rehabilitation and employment services to persons with mental, physical, emotional and sensory disabilities, so they might obtain the training and employment experiences they need to achieve economic self-sufficiency.  www.workopportunities.org",http://workopportunities.com/,192 east bakerview road,#202,bellingham,wa,98226,us,physical,whatcom,119,mangled_url,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,1824 ellis street,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham food ank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",qttp://wellinghamfoodbank.org,,,bellingham,wa,98225,us,physical,whatcom,121,mangled_name|mangled_address_1|mangled_url,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,4173 meridian street,,bellingham,wa,98226,us,physical,whatcom,,,1
bellingham food ank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,4173 meridian st.,,bellingham,wa,98226,us,physical,whatco,123,mangled_name|mangled_address_1|mangled_region,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,2717 alderwood avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http:/ubellinghamfoodbawk.com/,2717 alderwood avenue,,bellingham,wa,98225,us,physical,whatcom,125,mangled_url,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,2020 cornwall avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
bsllingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org/,2020 cornwall avenue,,bellingham,wa,98225,us,physical,whatcom,127,mangled_name|mangled_url,1
bellingham food bank,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamfoodbank.org,1175 jersey street,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham food ban,"bellingham food bank provides emergency food to those in need residing in bellingham.  it is the lead agency for whatcom county food banks in ferndale, lynden, everson, deming, blaine, and lummi island.",http://bellinghamqoodbank.org/,1175 jersey street,,bellingham,wa,98225,us,physical,whatcom,129,mangled_name|mangled_url,1
bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,210 central avenue,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham public libray,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bgllinghampubliulibrary.org,210 central avenue,,bellingham,wa,98225,us,physical,whatcom,131,mangled_name|mangled_url,1
bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,1117 12th street,,bellingham,wa,98225,us,physical,whatcom,,,1
bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibwary.org,1117 12th st,,bellingham,wa,98225,us,physical,whatcom,133,mangled_address_1|mangled_url,1
bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org,3111 newmarket street,suite 103,bellingham,wa,98226,us,physical,whatcom,,,1
bellingham public library,"provides library services, circulating 1.6 million items annually to more than 59,000 registered cardholders. it is a department of the city of bellingham and is funded by city taxes.",http://www.bellinghampubliclibrary.org/,3111 newmarket st,suite 103,bellingham,wa,98226,us,physical,whatcm,135,mangled_address_1|mangled_url|mangled_region,1
blue skies for children,"blue skies for children is a 501(c)3 organization located in whatcom county that grants little wishes for homeless, low-income and foster youth, ages 6-18.",http://www.blueskiesforchildren.org,2505 cedarwood avenue,suite 5,bellingham,wa,98225,us,physical,whatcom,,,1
bluj skies for chilxren,"blue skies for children is a 501(c)3 organization located in whatcom county that grants little wishes for homeless, low-income and foster youth, ages 6-18.",http://www.blueskiesforchildren.org,2505 cedarwood avenue,suite 5,bellingham,wa,98225,us,physical,whatcom,137,mangled_name,1
camp fire samish,"camp fire’s all-inclusive programs provide a nurturing, constructive and fun environments for young people to discover their sparks - unique skills, passions, and interests through club programs, self-reliance classes, community service, and camp experiences.",http://www.campfiresamishcouncil.org,1321 king street,#3,bellingham,wa,98229,us,physical,whatcom,,,1
