id,organization_id,program_id,name,alternate_name,description,url,email,status,interpretation_services,application_process,wait_time,fees,accreditations,licenses,x_legacy_id,x_total_units,x_need,x_target_populations,x_age_range,x_capacity_type,x_dshs_region,x_public_view,x_option_status,x_staff_notes,x_edit_notes,x_keywords
1220,429,,Public Health Services for Children with Special Needs,,"Resources for children with special health care needs, developmental delays and ongoing medical problems. Local Children with Special Health Care Needs Coordinators (CSHCN) can help children get screened and connected to services in their area.",https://www.whatcomcounty.us/659/Children-and-Youth-with-Special-Healthca,,active,,,,,,,1851,,Child Development,,,,3,Informational,Active,"Resources for children with special health care needs, developmental delays and ongoing medical problems. Local Children with Special Health Care Needs Coordinators (CSHCN) can help children get screened and connected to services in their area.",,"Children with Special Health Care Needs, CSHCN, cshcn, coordinator, special needs, development, disability, developmental, public health nurse, nurse, CYSHCN"
1224,432,,Play & Learn Groups,,Free organized play groups that support children’s early learning & development. Forr children 0-5. Group follows the school district calendar. Please call for details.,https://www.blainesd.org/o/blaine-primary-school,,active,,,,,,,14243,,,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
1291,469,,Pregnancy & Baby Supplies,,"Supplies may include maternity & baby clothes, diapers, formula, cribs, strollers & car seats. Please call to confirm details.",https://www.projecthopelynden.org/about-us/#,,active,,,,,,,8537,,Commodities,,,,3,Informational,Active,,,"Pregnancy & Baby Supplies, pregnancy & baby supplies, pregnancy and baby supplies, diapers, formula, strollers, baby food, baby cupboard, maternity clothes, maternity, crib, cribs, car seat, baby supplies, pregnancy"
1292,469,,Clothing Bank,,New & used clothing items offered to individuals and families. Please call to confirm clothing service details and requirements.,http://www.christianhopeassociation.org/food-bank-1/,,active,,,,,,,8538,,Commodities,,,,3,Informational,Active,,,"clothes, used clothing, clothing banks, clothing, banks, bank, coats, coats for kids, school clothes, back to school"
1293,469,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,https://www.projecthopelynden.org/project-hope-food-bank/,,active,,,,,,,3216,,Food,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
1317,488,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,https://www.humanitasministry.org/,admin@buf.org,active,,,,,,,16179,,"Transportation,Utilities,Food",,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
1394,532,,Food Bank,,A local organization that distributes free food to those in need. Offers a drive-through pick-up & a mobile food pantry. Home delivery services may be available.,https://foothillsfoodbank.org/,,active,,,,,,,3113,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
1424,548,,Clothing Bank,,New & used clothing items offered to individuals and families. Please call to confirm clothing service details and requirements.,https://www.laurelchurch.us/serve.html,,active,,,,,,,14452,,,,,,3,Informational,Active,,,"clothes, used clothing, clothing banks, clothing, banks, bank, coats, coats for kids, school clothes, back to school"
1426,550,,Play & Learn Groups,,Free organized play groups that support children’s early learning & development. Please call to confirm group dates and times.,https://www.mtbaker.wednet.edu/o/erc/page/play-and-learn-program,kmarshall@mtbaker.wednet.edu,active,,,,,,,11688,,Child Development,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times. A Kaleidoscope Play & Learn Group*Free for children 0-5*Groups occur from January-June 2022, following the Mt Baker School District Calendar",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
1444,561,,Play & Learn Groups,,Free organized play groups that support children’s early learning & development. Please call to confirm group dates and times.,https://www.mtbaker.wednet.edu/o/erc/page/play-and-learn-program,kmarshall@mtbaker.wednet.edu,active,,,,,,,11684,,Child Development,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.A Kaleidoscope Play & Learn Group *Free for children 0 - 5*Groups will occur from January through June 2022, following the Mt Baker School District Calendar.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
1669,667,,Adult Dental Clinics,,Dental resource list to be emailed or mailed to clients,https://whatcomalliance.org/dental/,,active,,,,,,,8410,,,,,,3,Informational,Active,,,"adult, adult dental, adult dental clinics, root canal, bridge, filling, cleaning, teeth, ache, dentures, crown, tooth, pulled, endodontist, gum disease, gingivitis, plaque, novocaine"
1747,719,,Play & Learn Groups,,Virtual Play & Learn Group offered via Facebook. Contact Rachel at rachel.bowlden@ferndalesd.org or (360) 383-9660 for links and information.,,,active,,,,,,,11789,,,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
1763,728,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,,,active,,,,,,,3184,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
1770,734,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,https://www.bellinghamfoodbank.org/feeding-hungry-families/in-bellingham/,,active,,,,,,,15383,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
1831,767,,Public Health Services for Children with Special Needs,,"Resources for children with special health care needs, developmental delays and ongoing medical problems. Local Children with Special Health Care Needs Coordinators (CSHCN) can help children get screened and connected to services in their area.",http://whatcomtakingaction.org/,,active,,,,,,,8042,,Child Development,,,,3,Informational,Active,"Resources for children with special health care needs, developmental delays and ongoing medical problems. Local Children with Special Health Care Needs Coordinators (CSHCN) can help children get screened and connected to services in their area.",,"Children with Special Health Care Needs, CSHCN, cshcn, coordinator, special needs, development, disability, developmental, public health nurse, nurse, CYSHCN"
1832,767,,Internet Resources for Children with Special Needs,,"Provides phone screening, intake & referrals for children with special health care needs.",http://whatcomtakingaction.org/,,active,,,,,,,14203,,,,,,3,Informational,Active,Organizations and information to support parents of children with special needs.,,"internet resources, special needs, children with special needs, children and youth with special health care needs, information, genetics, Down syndrome, spina bifida, blind, deaf, sensory disabilities, medical home, medicalhome, add, adhd, cerebral palsy,  CF, fetal alcohol syndrome, genetics, genetic testing, behavior, IEP"
1833,767,,Parent Support for Children with Special Needs,,"Provides phone screening, intake & referrals for families of children with special health care needs.",http://whatcomtakingaction.org/,,active,,,,,,,14204,,,,,,3,Informational,Active,,,"disability, special needs support, emotional support, sibling support, sibling, Special Needs Parent Support, special needs parent support, special needs, parent to parent, ARC, the arc, behavior"
1913,811,,Parent Support for Children with Special Needs,,"Provides resources & support to families with children who are deaf, deaf-blind or hard of hearing. Services are available in English & Spanish. Call or email for your local program information.",https://wahandsandvoices.org,,active,,,,,,,15087,,,,,,3,Informational,Active,Also provides families with networks & information needed to improve communication & educational outcomes for their children,,"disability, special needs support, emotional support, sibling support, sibling, Special Needs Parent Support, special needs parent support, special needs, parent to parent, ARC, the arc, behavior"
1941,829,,Parents as Teachers,,"This free program offers parent-child activities, child health and development information & resources referrals. Parents enjoy one-on-one personal visits twice a month with a trained parent educator and monthly group with other families for two or more years.",http://www.lydiaplace.org/,,active,,,,,,,13283,,"Child Development,Adult Education",,,,3,Informational,Active,Enrolling during pregnancy or for children 0-3. Please call for information on eligibility & enrollmentCurrently serving families experiencing homelessness.,,"Parents as Teachers, parents as teachers, parent-child, parent educator, PAT, pat, parenting activities, development resource, home visit, home support, help with my kids, in-home support, learn to be a parent, positive parenting, young parent, first-time parent, home visiting, home visits, home visitor, Family Support Specialist"
2196,961,,Recreational Activities for Children with Special Needs,,"Offers programs, activities and support for adults & children with disabilities.",https://www.cob.org/services/recreation/activities,,active,,,,,,,13274,,,,,,3,Informational,Active,,,"Recreation, sports, playgrounds, activities, parks and rec, parks and recreation, playground, playgrounds, specialized programs, special Olympics, camp, camps, summer, break, summer camp"
2197,962,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,http://www.hcbellingham.com/southside-food-bank/,,active,,,,,,,16174,,,,,,3,Informational,Active,"Also provides  limited financial assistance in the form of vouchers for food, gas, or similar basic needs. Call for more information.",,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
2285,999,,Medicaid Transportation Services,,"You must be enrolled in Apple Health (Medicaid) in San Juan, Skagit, Island, or Whatcom County, and your transportation needs must be for a medical appointment such as: dialysis, OB, medical, dental, scheduled COVID-19 vaccines appointments, etc. Please call for details.",http://www.nwrcwa.org/medicaid-transportation/,,active,,,,,,,1316,,,,,,3,Informational,Active,"You must be enrolled in Apple Health (Medicaid) in San Juan, Skagit, Island, or Whatcom County, and your transportation needs must be for a medical appointment such as: dialysis, OB, medical, dental, scheduled COVID-19 vaccines appointments, etc.Pease call at least at least 7-14 days before of your appointment. If you request transportation less than 2 business days before your appointment, they may not be able to schedule transportation for you.Trips are paid by client’s Medicaid coverage.The most common types of transportation available include:- Bus tickets and passes- Gas vouchers- Intercity buses (such as Greyhound)- Wheelchair van/cabulance- Ferry tickets- Air & water taxi- Taxi- Uber",,"Medicaid Transportation, Transportation, Medicaid transportation, appointment, Medicaid, ACCESS, ACCESS van, access van, medical appointment"
2453,1082,,Recreational Activities for Children with Special Needs,,"Ray of Hope summer camp, offered for children 5-12 with behavioral challenges.",http://reboundfamilies.org/,,active,,,,,,,13265,,,,,,3,Informational,Active,,,"Recreation, sports, playgrounds, activities, parks and rec, parks and recreation, playground, playgrounds, specialized programs, special Olympics, camp, camps, summer, break, summer camp"
2454,1082,,Parent Support,,Family support programs and other parent/caregiver resources. Please call for detailed information about services offered.,http://reboundfamilies.org/,,active,,,,,,,12936,,,,,,3,Informational,Active,,,"Parent Support, parent support, parent support group, parenting, groups, advice, support group, support groups, help with my kids, parent education, discipline, positive discipline, how to be a good parent, parenting skills, learning how to be a parent, behavior, family help line"
2455,1082,,Parenting Classes,,Parenting classes and support offered in a variety of settings. Please call for information and class schedules.,http://reboundfamilies.org/our-program/,,active,,,,,,,6996,,,,,,3,Informational,Active,,,"Parenting Classes, Parenting Class, parenting class, class, classes, parenting, parenting skills, court ordered parenting class, parenting support, help with my kids, parent education, discipline, positive discipline, how to be a good parent"
2485,1089,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,http://www.harmonywebdesigns.com/pointrobertschurch/reachingout.htm,,active,,,,,,,3211,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
2650,1156,,Play & Learn Groups,,Free organized play groups that support children’s early learning & development. Please call to confirm group dates and times.,https://www.bellinghampubliclibrary.org/kids-teens/kids/childrens-events/storytimes,,active,,,,,,,14242,,,,,,3,Informational,Active,"Play & Learn groups are free organized play groups that support children’s early learning & development. Young children and their caregivers take part in play activities as well as learn more about what they can do at home to support healthy growth and learning.  Groups meet regularly in locations such libraries, family centers, schools, community centers and other neighborhood locations. Please call to confirm group dates and times.",,"Learn & Play, play groups, Play & Learn Groups, play and learn groups, play & learn, play and learn, play & learn group, play and learn group, fun, Help with my kids, early learning, school ready, kindergarten ready, activities for my kids, social skills, playgroup, play group, playgroups, social interaction, mommy and me, mommy & me"
2709,1181,,Clothing Bank,,New & used clothing items offered to individuals and families. Please call to confirm clothing service details and requirements.,http://ferndalecsc.org/?page_id=12,,active,,,,,,,14476,,,,,,3,Informational,Active,,,"clothes, used clothing, clothing banks, clothing, banks, bank, coats, coats for kids, school clothes, back to school"
2710,1181,,Pregnancy & Baby Supplies,,"Supplies may include maternity & baby clothes, diapers, formula, cribs, strollers & car seats. Please call to confirm details.",http://ferndalecsc.org/?page_id=12,,active,,,,,,,14479,,,,,,3,Informational,Active,"The ""Other Bank"" offers hygiene items, including diapers, to families with children who qualify for free and reduced lunch in the Ferndale School District. Connect with the Family Community Coordinator at your child's school to register.",,"Pregnancy & Baby Supplies, pregnancy & baby supplies, pregnancy and baby supplies, diapers, formula, strollers, baby food, baby cupboard, maternity clothes, maternity, crib, cribs, car seat, baby supplies, pregnancy"
2713,1183,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,http://www.bellinghamfoodbank.org/,,active,,,,,,,13218,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
2801,1224,,Childbirth Education,,Childbirth preparation classes that may accept Apple Health (Medicaid) for payment. Please call or visit the website to register for classes.,https://www.btc.edu/CommunityAndBusiness/ChildandFamilyStudies/index.html#ChildbirthEducation,,active,,,,,,,967,,Adult Education,,,,3,Informational,Active,,,"childbirth education, child birth, child birth class, classes, lamaze, childbirth, great starts, greatstarts, labor, techniques, delivery options, birthing, labor and delivery, labor & delivery, birth, birth class, birth classes, pregnancy, pregnancy class, pregnancy classes, family classes"
2802,1224,,Parenting Classes,,Offers childbirth prep and parenting classes for raising children of all ages. Please call for details and schedule.,https://www.btc.edu/CommunityAndBusiness/ChildandFamilyStudies/index.html#ParentingEducation,,active,,,,,,,6827,,Adult Education,,,,3,Informational,Active,,,"Parenting Classes, Parenting Class, parenting class, class, classes, parenting, parenting skills, court ordered parenting class, parenting support, help with my kids, parent education, discipline, positive discipline, how to be a good parent"
2811,1230,,Food Bank,,A local organization that distributes free food to those in need.  Some food banks serve specific areas.,http://www.stpaulsbellingham.org/outreach-and-service/2012/4/16/alms-ministry.html,,active,,,,,,,16180,,,,,,3,Informational,Active,,,"Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
2924,1281,,Clothing Bank,,New & used clothing items offered to individuals and families. Please call to confirm clothing service details and requirements.,https://bellinghamhopehouse.blogspot.com,,active,,,,,,,14451,,,,,,3,Informational,Active,,,"clothes, used clothing, clothing banks, clothing, banks, bank, coats, coats for kids, school clothes, back to school"
3134,1378,,Immunization Clinics,,Provides children's immunizations and accepts Apple Health (Medicaid). Offers a sliding scale for the uninsured. Serves clients enrolled in a federally recognized tribe.,https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,376,,Health,,,,3,Informational,Active,,,"Immunization Clinics, vaccine, vaccines, shots, shot, immunize, immunizations, vaccination, immunization clinics, mmr, varicella, chicken pox, pertussis, whooping cough, Tetanus, measles, rotavirus, flu, flu shot, influenza, vaccinations, HPV, Dtap, Tdap, Measels, polio,"
3135,1378,,Community Clinics,,Provide general medical care for families & individuals and accept Apple Health (Medicaid). Also offers a sliding fee scale for the uninsured. Serves clients enrolled in a federally recognized tribe.,https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,373,,Health,,,,3,Informational,Active,,,"Community Clinics, community clinics, medical care, health, doctor, MD, adult, uninsured, sliding discount, low cost, low-cost, provider, pediatrician, family, sick, check-up, checkup, nurse, clinic clinics, medicaid, HealthPoint, Health Point, Sea Mar, seamar, low cost clinic, sliding fee, unpaid medical bills, doctor's office, seen by a doctor, medical care,Sea Mar Community Health Center, Community Health Care Center, Family Health"
3136,1378,,Pregnancy Testing,,Free or low cost pregnancy tests.Serves clients enrolled in a federally recognized tribe.,https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,374,,Health,,,,3,Informational,Active,,,"pregnancy test, unplanned pregnancy, pregnant, Pregnancy Testing, pregnancy testing, pregnancy"
3137,1378,,Birth Control Services (Family Planning),,"Offers family planning services, including annual exams and birth control options. Clinics may accept Apple Health (Medicaid) and may offer a sliding fee for the uninsured. Serves clients enrolled in a federally recognized tribe.",https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,375,,Health,,,,3,Informational,Active,Clinics that accept Apple Health (Medicaid) and may offer a sliding fee for the uninsured.Timing and spacing pregnancies is better for your body. Planning your family helps you take control over your life and health care.,,"free condoms, birth control, pill, the patch, birthcontrol, the pill, morning after pill, planB, plan b, IUD, depo, deprovera, depo-provera, depoprovera, shot, implant, nuvaring, vaginal ring, contraception, essure, tubal ligation, tubes tied, planned parenthood, Cedar River Clinic, Family Planning Nurse"
3138,1378,,Adult Dental Clinics,,Dental clinics that provide services for adults. Some clinics may accept Apple Health (Medicaid). While others may offer a sliding fee scale or reduced rate program. Serves clients enrolled in a federally recognized tribe.,https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,16112,,Health,,,,3,Informational,Active,Dental clinics that provide services for adults. Some clinics may accept Apple Health (Medicaid). while others may offer a sliding fee scale or reduced rate program. Please call the dental clinic for more information as services and coverage may be limited.,,"adult, adult dental, adult dental clinics, root canal, bridge, filling, cleaning, teeth, ache, dentures, crown, tooth, pulled, endodontist, gum disease, gingivitis, plaque, novocaine"
3139,1378,,"The Nutrition Program for Women, Infants and Children (WIC)",,"WIC is a nutrition program for pregnant women, new and breastfeeding moms, and children under 5. It provides monthly benefits for food, health screenings/referrals, nutrition education, and breastfeeding support.  This site is only for Native Americans living in Whatcom County",https://www.lummi-nsn.gov/Website.php?PageID=433,,active,true,,,,,,11616,,Food,,,,3,Informational,Active,"WIC is a nutrition program for pregnant women, new and breastfeeding moms, and children under 5. It provides monthly checks for healthy food, health screenings and referrals, nutrition education, and breastfeeding support. Search for a WIC clinic near where you live or work below. Getting WIC will not affect your immigration status. Washington State WIC Nutrition Program does not discriminate. Learn more about WIC.",,"The Nutrition Program for Women, Infants and Children (WIC), WIC, nutrition, food, check, checks, voucher, vouchers, pregnancy, pregnant, infants, infant, breastfeeding, groceries, grocery store, milk, formula, iron, low iron, cereal, prenatal nutrition, infant feeding, infant nutrition, WIC state office, WIC complaints, WIC fraud, WIC retail, WIC Administration, WIC admin, WIC"
3140,1378,,Children's Dental Clinics,,"Provides dental services for children, accepts Apple Health (Medicaid) and may offer sliding fee for the uninsured. Serves clients enrolled in a federally recognized tribe.",https://www.lummi-nsn.gov/Website.php?PageID=433,,active,,,,,,,372,,Health,,,,3,Informational,Active,,,"Children's Dental Clinics, dentist, children, child, kid, kids, dentists, flouride, flouride treatment, varnish, cavity, oral, filling, cleaning, tooth, teeth, ache, rotten, extract, pull, baby teeth, bottle decay, abscess, baby teeth, dentist for my kids, dental"
3147,1383,,Parent Support for Children with Special Needs,,"DsO is a program of The Arc of Whatcom County and provides support, information and advocacy for people with Down Syndrome.",http://arcwhatcom.org/wp/programs/down-syndrome-outreach/,,active,,,,,,,13598,,,,,,3,Informational,Active,,,"disability, special needs support, emotional support, sibling support, sibling, Special Needs Parent Support, special needs parent support, special needs, parent to parent, ARC, the arc, behavior"
3169,1395,,Food Bank,,"A local organization that distributes free food to those in need.  Serves zip codes 98226, 98230, 98231, 98240 & 98248.",https://ferndalefoodbank.wordpress.com,,active,,,,,,,3106,,,,,,3,Informational,Active,,"Serves zip codes 98226, 98230, 98231, 98240 & 98248","Food Banks, food bank, food banks, Food Bank, Meals, food, free, eat, hungry, sites, foodbank, foodbanks, grocery, groceries, food box, holiday assistance, food basket, commodities, formula, produce, food boxes, toiletries, pet food, free food, food assistance, need food"
3188,1406,,Community Clinics,,Provide general medical care for families & individuals and accept Apple Health (Medicaid). Also offers a sliding fee scale for the uninsured. Serves tribal members.,http://nooksacktribe.org/departments/health/medical-clinic/,,active,,,,,,,1243,,,,,,3,Informational,Active,,,"Community Clinics, community clinics, medical care, health, doctor, MD, adult, uninsured, sliding discount, low cost, low-cost, provider, pediatrician, family, sick, check-up, checkup, nurse, clinic clinics, medicaid, HealthPoint, Health Point, Sea Mar, seamar, low cost clinic, sliding fee, unpaid medical bills, doctor's office, seen by a doctor, medical care,Sea Mar Community Health Center, Community Health Care Center, Family Health"
