Agency_Id,AgencyContact_AgencyContact_Both,AgencySystem_DateOfLastCompleteUpdate,AgencyOption_Status,AgencySystem_Name,AgencySystem_Description,AgencySystem_Websiteurl,AgencyCustom_AdministratorName,AgencyCustom_AdministratorTitle,AgencySystem_LicensesOrAccreditations,AgencySystem_Fein,AgencyOption_ProviderType
5333,"[{""Contact_Id"":2784,""Name"":""Maya Green <maya@blueskiesforchildren.org>""}]",2021/08/24,"[""Active""]",Blue Skies for Children,"Blue Skies for Children is a 501(c)3 organization located in Whatcom County that grants Little Wishes for homeless, low-income and foster youth, ages 6-18.",http://www.blueskiesforchildren.org,,,,,"[""Non-Profit""]"
5356,"[{""Contact_Id"":3835,""Name"":""Teresa Brescia <info@campfiresamish.org>""}]",2022/06/20,"[""Active""]",Camp Fire Samish,"Camp Fire’s all-inclusive programs provide a nurturing, constructive and fun environments for young people to discover their sparks - unique skills, passions, and interests through Club programs, self-reliance classes, community service, and camp experiences.",http://www.campfiresamishcouncil.org,,,,,"[""Non-Profit""]"
5446,"[{""Contact_Id"":3097,""Name"":""Diana Horgen <lcbc@laurelchurch.us>""}]",2022/06/15,"[""Active""]",Laurel Church,Provides basic needs to those in the community.,http://www.laurelchurch.us,,,,,"[""Faith Based""]"
5450,"[{""Contact_Id"":4731,""Name"":"" <LIBCHR@lummi-nsn.gov>""}]",2021/11/19,"[""Active""]",Lummi Nation,"Coast Salish people with a rich history, culture and traditions. Fishers, hunters, gatherers, and harvesters of nature's abundance. Lummi's envision their homeland as a place where they enjoy an abundant, safe, and healthy life in mind, body, society, environment, space, time and spirituality; where all are encouraged to succeed and none are left behind.",https://www.lummi-nsn.gov,,,,,"[""Non-Profit""]"
5460,"[{""Contact_Id"":87,""Name"":""web update <webupdate@crisisconnections.org>""}]",2020/08/25,"[""Active""]",Bloodworks Northwest,Collects blood from volunteer donors to support the needs and provide specialized health services to patients in Western Washington. Mobile blood donor units are available for blood drives at organizations and businesses. Seattle location coordinates a hemophilia summer camp for families.,http://www.bloodworksnw.org,"Curt Bailey, MBA",CEO,,91-1019655,"[""Non-Profit""]"
5496,"[{""Contact_Id"":3909,""Name"":""Tina Fish <tina.fish@compassh.org>""}]",2022/03/22,"[""Active""]",Compass Health - Whatcom County,"Community-based healthcare agency that behavioral health and medical care services to support clients and communities. Addresses complex healthcare needs in partnership with first responders and other community organizations, and form a key section of the community safety net. Provides comprehensive mental health treatment, supportive housing, children’s services, community education and much more.",https://www.compasshealth.org,Tom Sebastian,President/CEO,,,"[""Non-Profit""]"
5700,"[{""Contact_Id"":1037,""Name"":""Amy Steele <nooksackvalleyfoodbank@gmail.com>""}]",2022/06/20,"[""Active""]",Nooksack Valley Food Bank,Emergency food and food bank for residents of Washington State mainly serving Whatcom County residents.,,,,,,"[""Non-Profit""]"
5751,"[{""Contact_Id"":752,""Name"":""Constituent Services <askdshs@dshs.wa.gov>""}]",2019/06/03,"[""Active""]",DSHS Division of Child Support,Establishes and enforces child support and health insurance obligations on behalf of minor dependent children from parents who are not the physical custodians of their children.,http://dshs.wa.gov/dcs,Christine Servin,District Manager,,,"[""Government""]"
5845,"[{""Contact_Id"":1066,""Name"":""Don Kok <don@christianhopeassociation.org>""}]",2021/08/27,"[""Active""]",Project Hope,"Assists individuals and families living with the Lynden area (Lynden School District boundaries) who are struggling with food insufficiency. Community Assistance Program helps community member with short-term, emergency assistance which may include utilities, rent, clothing, household goods, laundry, and fuel.",https://www.projecthopelynden.org,Don Kok,Executive Director,,91-0858511,"[""Non-Profit""]"
5846,"[{""Contact_Id"":4149,""Name"":""Director <director@ferndalefoodbank.org>""}]",2022/08/17,"[""Active""]",Ferndale Food Bank,"Food bank serving the Ferndale, Custer, and North Bellingham areas.",http://www.ferndalefoodbank.org,Suzanne Nevan,Executive Director,,,"[""Non-Profit""]"
5874,"[{""Contact_Id"":3550,""Name"":""Mandi Rothman <mandir@nwys.org>""}]",2022/08/19,"[""Active""]",Northwest Youth Services,"Offers housing, street outreach, help finding a job or enrolling in school, connection to mental health services, support for LGBTQ youth, restorative justice for juvenile respondents, and referrals to other services in the community. Serves young people ages 13-24 experiencing homelessness in Whatcom and Skagit Counties.",http://www.nwys.org/,Jason McGill,Executive Director,,91-0970561,"[""Non-Profit""]"
5945,"[{""Contact_Id"":1810,""Name"":""John P.C. Moon <john.moon@hfhwhatcom.org>""}]",2021/08/31,"[""Active""]",Habitat for Humanity in Whatcom County,"Habitat works in partnership with families in need and community volunteers, businesses, churches and other civic organizations. We repair, build, and sell houses at cost, with no-profit, interest-free mortgages, so that families can live and grow into all that God intends.",http://www.hfhwhatcom.org,,,,91-1409512,"[""Non-Profit""]"
5973,"[{""Contact_Id"":2266,""Name"":""Kurt Gisclair <kurtg@re-store.org>""}]",2022/06/15,"[""Active""]",RE Store,"Helps homeowners and contractors save money on disposal costs, providing the public with quality used building materials at affordable prices while reducing waste, saving resources and generating jobs.",http://www.re-store.org,Kurt Gisclair,Director,,,"[""Non-Profit""]"
5984,"[{""Contact_Id"":752,""Name"":""Constituent Services <askdshs@dshs.wa.gov>""}]",2021/07/08,"[""Active""]",DSHS Community Services Offices,"Helps people achieve and maintain self-sufficiency by providing financial assistance for food, medical expenses and ID cards to those who are eligible. Also provides limited cash assistance. Additional programs available for refugees, families and people with disabilities.",https://www.dshs.wa.gov/food-cash-medical,Babs Roberts,Division Director,,,"[""Government""]"
5989,"[{""Contact_Id"":752,""Name"":""Constituent Services <askdshs@dshs.wa.gov>""}]",2018/07/25,"[""Active""]",DSHS Division of Vocational Rehabilitation,"Helps people with disabilities prepare for, obtain and retain employment. Works in partnership with the community and businesses to develop employment opportunities for people who have disabilities.",http://dshs.wa.gov/dvr,Rob Hines,Director,,,"[""Government""]"
5998,"[{""Contact_Id"":1221,""Name"":""Erin Klones <erin.klones@dshs.wa.gov>""}]",2020/05/15,"[""Active""]",DSHS Aging and Long-Term Support Administration's Home and Community Services,Helps vulnerable and dependent adults by funding personal care services in a variety of settings. Investigates reports of adult abuse and neglect.,https://www.dshs.wa.gov/altsa/home-and-community-services/agencies-help#HCS,Sonya Sanders,Regional Administrator,,,"[""Government""]"
6101,"[{""Contact_Id"":4005,""Name"":""Matt Tabor <matthewt@journeyhousingandpayee.org>""}]",2021/12/03,"[""Active""]",Journey Housing and Payee Services,"Journey Housing and Payee Services, an Everett-based non-profit company, creates affordable housing programs that empower people living with developmental disabilities to discover their potential, live independently with supportive services and engage in community life. Journey also operates a payee service providing representative payee services to Washington residents who need assistance in managing their personal financial affairs. The main mission of the organization is to provide housing, which they accomplish as a property management agency and as a payee service, prioritizing the payment of rent and utilities to assist people in keeping their housing.",https://journeyhousingandpayee.org,,,,,"[""Non-Profit""]"
6131,"[{""Contact_Id"":917,""Name"":""Dean Lampman <dean.lampman@lwrtc.org>""}]",2021/12/22,"[""Active""]",Lake Whatcom Residential and Treatment Center,"Lake Whatcom Center (LWC), located in Bellingham, Washington, is a DSHS licensed not-for-profit organization providing an array of residential and community mental health services to adults with severe and persistent mental illness in Whatcom and surrounding counties.  ",http://lwrtc.org,,,,91-0844168,"[""Non-Profit""]"
6162,"[{""Contact_Id"":3541,""Name"":""Shannon Edgel <sedgel@lifelineconnections.org>""}]",2022/07/27,"[""Active""]",Lifeline Connections,Offers outpatient and residential substance use disorder and mental health treatment services.,https://lifelineconnections.org/,Joe Foster,CEO,,,"[""Non-Profit""]"
6164,"[{""Contact_Id"":3367,""Name"":""Jessica Hess <jessicah@thelighthousemission.org>""}]",2021/11/12,"[""Active""]",Lighthouse Mission Ministries,"Operates a crisis homeless shelter for men, women, and children. Assess and address the underlying causes that lead to homelessness for its guests.  Offers three meals a day, shelter, and access to life skills classes, case management, and recovery support for homeless men, women, and children.",http://www.thelighthousemission.org,,,,91-0659437,"[""Faith Based""]"
6218,"[{""Contact_Id"":2207,""Name"":""Kirk Larson <Kirk.Larson@ssa.gov>""}]",2018/10/30,"[""Active""]",Social Security Administration,"Manages application and administration offices for federal Social Security, Supplemental Security Income (SSI), Medicare, Medicare Part D/Extra Help, Social Security Disability Income (SSDI) and survivor and death benefits programs.",https://www.ssa.gov/seattle/index.htm,Mary Lisa Lewandowski,"Regional Commissioner, Seattle",,,"[""Government""]"
6332,"[{""Contact_Id"":2805,""Name"":""NAMI Staff <namiadmin@namiwhatcom.org>""}]",2022/04/21,"[""Active""]",NAMI Whatcom,"NAMI Whatcom County is an affiliate of NAMI, the National Alliance on Mental Illness, the nation’s largest grassroots mental health organization dedicated to building better lives for the millions of Americans affected by mental illness.  Our mission is to encourage recovery and reintegration of persons with mental illnesses and to provide support, education, and advocacy for persons with mental illness and their families.  NAMI Whatcom County is fully inclusive of individuals with mental illness and their families of all backgrounds and cultures.  The mission of NAMI Whatcom County is to provide hope and improve the quality of life for those affected by mental illness through support, education and advocacy. NAMI Whatcom County provides support for persons affected by mental illness in numerous ways.   We offer numerous programs and resources that encompass our values that support our mission. Our programs consist of the following free support groups, classes, and education opportunities.",http://www.namiwhatcom.org,Kim Sauter,Director,,91-1245978,"[""Non-Profit""]"
6359,"[{""Contact_Id"":2548,""Name"":""Lt. Niki Woollin <niki.woollin@usw.salvationarmy.org>""}]",2021/12/20,"[""Active""]",Salvation Army - Bellingham,Non-profit multi service center.,https://bellingham.salvationarmy.org,,,,94-1156347,"[""Non-Profit""]"
6385,"[{""Contact_Id"":87,""Name"":""web update <webupdate@crisisconnections.org>""}]",2021/04/01,"[""Active""]",Alcoholics Anonymous' Western Washington Area 72,Lists 12-step support groups for alcoholics. Some meetings have interpreters for individuals who are hard of hearing. Provides information about AA meetings throughout Western Washington.,http://www.area72aa.org,,,,,"[""Non-Profit""]"
6397,"[{""Contact_Id"":1297,""Name"":""Marissa Cahill <mbcahill@workforcenorthwest.org>""}]",2021/11/30,"[""Active""]",WorkSource Whatcom,"Offers a comprehensive job center providing workshops and seminars that are fun and informative in a casual atmosphere. Topics include: Job Search Strategies, Skills and Abilities Analysis, Perfecting Applications, Effective Resumes, and Cover Letters, Interviewing Techniques, Computer classes and weekly job networking club. Also provides free technology use for your career exploration and job searching needs. Computers with internet access, assessment, and interview practice software, Create and print your resume and other employment-related documents, fax applications to employers. Copiers (limited to 4 copies) and phones are available explicitly for job search.   UNEMPLOYMENT INSURANCE INFORMATION For questions or to file an Unemployment Insurance claim By phone:  1-800-318-6022 Online:  www.esd.wa.gov  ONLINE RESOURCES - WorkSourceWA.com - Find hundreds of available jobs, apply for local, state and national jobs, post your resume online for employers to view, discover job search strategies for success.   EMPLOYMENT & TRAINING PROGRAMS More intensive services and programs are available through WorkSource for qualifying low income young people, adults, and workers age 55 and better; dislocated workers; displaced homemakers; veterans, individuals with a disability; migrant agricultural workers; ex-offenders; and others.   BUSINESS SERVICES WorkSource provides human resource assistance, help during layoffs, and access to resources for business development.  - Assistance with finding qualified applicants - Activities to market your current job openings - Private rooms at WorkSource Centers for interviewing candidates - Resources for staff development and employee skills assessment - Assistance when dealing with company closures and layoffs - Access to current labor market information and local economic trends - Business resources for working with people with disabilities, obtaining tax credits, addressing human resource needs, etc. - Customized solutions for YOUR business’ needs  WorkSource is open to the public. The center is an adult learning environment. Please remember, resource lobby is for job search, career exploration, training research, & unemployment insurance activities. Use is monitored.  WorkSource is an equal opportunity employer and provider of employment and training services. Auxiliary aids and services are available upon request to persons of disability.",https://www.worksourcewa.com,Gay Dubigk,Executive Director,,,"[""Government""]"
6451,"[{""Contact_Id"":2012,""Name"":""Katherine Boury <katherine.boury@seattlegoodwill.org>""}]",2020/08/06,"[""Active""]",Seattle Goodwill,"Offers adult basic education programs, ESL classes, GED preparation and basic computer skill classes at four area job training centers. In addition, offers a retail and customer service training program for adults.",https://seattlegoodwill.org/,Daryl Campbell,President/CEO,,91-0568708,"[""Non-Profit""]"
6532,"[{""Contact_Id"":3977,""Name"":""Trudy Shuravloff <trudy@thewhatcomdream.org>""}]",2021/09/08,"[""Active""]",Whatcom Dream,"Offers financial literacy classes, covering the following topics: Values, Budgeting, Goal Setting, Banking, Debt Reduction, Credit Repair, Consumerism, Insurance, Transportation, Home Ownership, Retirement and Investing. Classes, meet once a week and are open to the public.",http://thewhatcomdream.org,Trudy Shuravloff,Executive Director,,74-3086597,"[""Non-Profit""]"
6655,"[{""Contact_Id"":4006,""Name"":""Luana Rawlins <Luana.Rawlins@Lni.wa.gov>""}]",2020/04/03,"[""Active""]",Washington State Department of Labor & Industries,"Offers vocational rehabilitation services to qualified injured workers. Pays medical bills of workers injured on the job and compensates for time lost. Provides disability awards and pensions for workers injured on the job when the job injury results in a permanent inability to work. Works to resolve complaints regarding mobile housing, factory-built housing and recreational vehicles.",http://lni.wa.gov,Veronica Bronkema,Regional Administrator,,,"[""Government""]"
6671,"[{""Contact_Id"":1416,""Name"":""Heidi Unick <otcm@openaccess.org>""}]",2021/09/09,"[""Active""]",Old Town Christian Ministries,Old Town Christian Ministries began in 1980 as an outreach to homeless people in Whatcom County.,,,,,,"[""Non-Profit""]"
6701,"[{""Contact_Id"":752,""Name"":""Constituent Services <askdshs@dshs.wa.gov>""}]",2019/06/05,"[""Active""]","Washington State Department of Children, Youth & Families' Child Welfare System",Operates a child abuse hotline. Provides Child Protective Services. Also provides Family Reconciliation Services to families with adolescents who have run away or are experiencing family conflict. Connects families interested in adopting with children in DSHS custody. Maintains a separate office for Indian Child Welfare.,https://www.dcyf.wa.gov,Stephanie Allison-Noone,Regional Administrator,,,"[""Government""]"
7106,"[{""Contact_Id"":1597,""Name"":""Sara McFarlane <sara@firstbaptistbellingham.com>""}]",2022/08/17,"[""Active""]",First Baptist Church - Bellingham,Provides a hot meal for anyone in need.,http://firstbaptistbellingham.com/connect/tuesday-meal,,,,,"[""Faith Based""]"
7228,"[{""Contact_Id"":1985,""Name"":""Karlene Umbaugh <karleneu@arcwhatcom.org>""}]",2022/02/22,"[""Active""]",Arc of Whatcom County,"Provides advocacy, information and referral, parent support and limited financial assistance to persons with developmental disabilities and their families.",http://www.arcwhatcom.org,Beverly Porter,Executive Director,,31-1579359,"[""Non-Profit""]"
7361,"[{""Contact_Id"":1555,""Name"":""Carol Brown <development@hsdc.org>""}]",2021/09/08,"[""Active""]","Hearing, Speech & Deaf Center","Provides audiology and hearing aids, speech therapy, case management and advocacy for the deaf and hard of hearing, early childhood education, sign language interpreting, and assistive technology.",http://hsdc.org,Lindsay Klarman,Executive Director,,91-0681207,"[""Non-Profit""]"
7426,"[{""Contact_Id"":1709,""Name"":""Jessie Burton <jburton@blainesd.org>""}]",2022/06/06,"[""Active""]",Blaine School District,Public school district.,http://www.blainesd.org,,,,,"[""Education""]"
7470,"[{""Contact_Id"":2856,""Name"":""Dani Turley <dani@lawadvocates.org>""}]",2022/02/08,"[""Active""]",LAW Advocates,Provides free civil legal assistance to low-income Whatcom County residents by linking them with attorney and community volunteers.,http://www.lawadvocates.org,,,,91-1537479,"[""Non-Profit""]"
7510,"[{""Contact_Id"":424,""Name"":""Tabitha Gross <brendasolis@seamarchc.org>""}]",2020/01/22,"[""Active""]",Sea Mar Community Health Centers,"Provides comprehensive medical, dental, family health planning and social services. Multilingual family health workers provide health advocacy and community resource education for limited English-speaking seniors. Provides chemical dependency treatment services. Outpatient behavioral health clinics provide individual and family counseling, youth anger management, as well as bilingual domestic violence survivor and chemical dependency support groups. Operates a combined Head Start/ECEAP preschool classroom. Provides WIC services.",https://www.seamar.org/,Rogelio Riojas,President and CEO,,91-1020139,"[""Non-Profit""]"
7527,"[{""Contact_Id"":3502,""Name"":""Mary O'Connor <mary.oconnor@ppgnhi.org>""}]",2021/04/09,"[""Active""]",Planned Parenthood,"Provides contraception options, pregnancy testing and the HPV vaccine. Offers pregnancy options counseling. Also offers preventive health care screenings such as breast and pelvic exams, Pap smears, and STD testing. HIV testing is provided. Services are confidential.",http://ppgnhi.org,,,,91-0686012,"[""Non-Profit""]"
