Agency_Id,Program_Id,ProgramContact_ProgramContact,ProgramSystem_LastUpdatereviewDate,ProgramOption_Status,ProgramSystem_Name,ProgramSystem_Description,ProgramSystem_TypeOfFees,ProgramSystem_DocumentsRequired,ProgramSystem_Eligibility,ProgramSystem_ApplicationintakeProcess
4939,8822,"[{""Contact_Id"":2618}]",2022/06/01,"[""Active""]",Homeless Student Liaison,"Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or assisting them with enrollment in their local school without delay.  Also provides referrals to health care, dental, mental health and other appropriate services.  Homeless students cannot be penalized for infractions, such as absenteeism, that relate to their homelessness.  Under the McKinney-Vento act, students must be allowed to attend their school of origin ""to the extent feasible.""",None.,,"Families or unaccompanied minors who lack a fixed, regular and adequate nighttime residence: Temporarily sharing housing; Living in motels or camping grounds due to the lack of alternative accommodations; Using as a nighttime residence a public or private place not ordinarily designed for sleeping; Living in emergency shelters or transitional housing.",Talk to a counselor at the student's local school or call the district's homeless liaison.
4941,667,"[{""Contact_Id"":304}]",2021/09/23,"[""Active""]",District Office,Main phone number for the Nooksack Valley School District.,None.,,None.,None.
4941,6559,"[{""Contact_Id"":304}]",2021/09/23,"[""Active""]",Homeless Student Liaison,"Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or assisting them with enrollment in their local school without delay.  Also provides referrals to health care, dental, mental health and other appropriate services.  Homeless students cannot be penalized for infractions, such as absenteeism, that relate to their homelessness.  Under the McKinney-Vento act, students must be allowed to attend their school of origin ""to the extent feasible.""",None.,,"Families or unaccompanied minors who lack a fixed, regular and adequate nighttime residence: •  Temporarily sharing housing •  Living in motels or camping grounds due to the lack of alternative accommodations•  Using as a nighttime residence a public or private place not ordinarily designed for sleeping •  Living in emergency shelters or transitional housing",Contact the school district to be connected to the McKinney-Vento Homeless Liaison.
4943,4840,"[{""Contact_Id"":3140}]",2022/02/21,"[""Active""]",Student Counseling Center,"The Counseling Center provides Western Washington University students with a variety of counseling, skill-training and self-help resources designed to assist with academic progress and personal development.",None.,,Must be currently enrolled at WWU taking at least six credits.,Call.
4943,5656,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Financial Aid Services,"Financial Aid provides a broad spectrum of federal, state, institutional, and private programs to students who find it difficult or impossible to attend WWU without financial assistance. Forms of aid include loans, work/study, scholarships, and grants. Assistance to students in locating part-time school year employment (on or off campus) and full-time summer employment.",None.,,Western Washington University students needing financial assistance.,Call or visit in person.
4943,5799,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Audiology Services,"The Hearing Clinic provides hearing testing and therapy experience for students in the Department of Communications Sciences & Disorders. The Clinic accepts referrals from all local agencies dealing with hearing concerns of their patients, students, or clients.",Fees vary depending on services provided. A sliding fee structure is available and all patients are accepted.,,Anyone with a communication disability.,Call.
4943,8621,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Admissions,Provides public four-year institution of higher learning.,Vary.,,Applicants must meet minimum admissinos standards.,Call or visit website.
4943,10881,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Individual Counseling,"Graduate students works with adults, children, and teens onmany issues, such as depression, anxiety problems, relationship issues, behavioral problems, adjustment issues, and a host of other problems that individuals and families face. All counseling sessions are held on campus. Counseling for couples and families is available peridocially.",Vary.,,All community members except Western Washington University students are eligible.  ,Call.
4943,13061,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Associated Students Child Development Center,"The Center provides quality child care in a full service program for the children of Western Washington University students, faculty, and staff. This is not a drop-in program.",Charges for services are on a sliding fee scale for Western students. MUST be enrolled at Western to qualify for the sliding scale. Scholarships available for PELL grant eligible students.,,"Children of Western Washington University students, faculty, or staff. If space is available the program can serve the children of alumni. Western Washington University students have priority. Currently the program serves 70% children of students and 30% children of faculty and staff.",Call.
4943,14370,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]","Career Assessments, Counseling, and Interview Prep",The goal of the center is to provide career assistance to Western Washington University students and alumni as well as members of the local community. The Center also seeks to develop and maintain positive relationships with employers in the University's service area.,None.,,Vary.,Call.
4943,19205,"[{""Contact_Id"":3140}]",2022/02/18,"[""Active""]",Hearing Aid Bank,Offers donated hearing aids to those who would not be able to afford the expense of purchasing hearing aids and maintaining their devices.,None.,,"Ages 18 and older; Demonstrate financial need, not eligible for hearing assistance from other sources, able to attend and participate in programs and required appointments.",Call or visit website.
4947,664,"[{""Contact_Id"":4724}]",2022/08/17,"[""Active""]",District Office,Main phone number for the Ferndale School District.,None.,,None.,None.
4947,6556,"[{""Contact_Id"":4724}]",2022/08/17,"[""Active""]",Homeless Student Liaison,"Ensures that youth experiencing homelessness have the opportunity to succeed in school by organizing transportation to their school of origin or assisting them with enrollment in their local school without delay.  Also provides referrals to health care, dental, mental health and other appropriate services.  Homeless students cannot be penalized for infractions, such as absenteeism, that relate to their homelessness.  Under the McKinney-Vento act, students must be allowed to attend their school of origin ""to the extent feasible.""",None.,,"Families or unaccompanied minors who lack a fixed, regular and adequate nighttime residence: Temporarily sharing housing; Living in motels or camping grounds due to the lack of alternative accommodations; Using as a nighttime residence a public or private place not ordinarily designed for sleeping; Living in emergency shelters or transitional housing.",Contact the school district to be connected to the McKinney-Vento Homeless Liaison.
4952,3077,"[{""Contact_Id"":1424}]",2021/10/18,"[""Active""]",Food Bank,The Point Roberts Food Bank serves the Point Roberts community.  Home delivery is available up to 7 days a week for those who are homebound.,None.,None.,Must live in the Point Roberts community.,Call or visit in person.
4954,170,"[{""Contact_Id"":2129}]",2021/12/16,"[""Active""]",Lord's Table Food Bank,Provides food for those who need it in the Acme area.,None.  Donations accepted.,,Anyone in need of the services offered living in the Acme area.,Call for application instructions.
4955,4118,"[{""Contact_Id"":2822}]",2021/11/29,"[""Active""]",Emergency Financial Assistance,"Provides small (one-time) amounts of financial help for food voucher, gas voucher, and bus fare.  Other resources should be tried first. Sacred Heart Church staff refers the applicant to St. Vincent de Paul volunteer and the volunteer in turn gets in touch with the applicant, which takes 24-48 hours.",None.,,Residents of Bellingham's Happy Valley and Fairhaven neighborhoods.,Call and leave a message.
4962,292,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]",Emergency Financial Assistance,"Provides crisis need assistance (food, utilities, gas, water, electric - with cutoff notice). Assistance is given in the form of vouchers or direct payments to service providers once per 12 month period.",None.,,"Assistance available to Blaine, Birch Bay, Pt. Roberts, and Custer residents only.",Leave a detailed voicemail and a volunteer will return the call. Calls left Friday after 3:00pm will be returned the following Monday.
4962,6318,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]",Food Connection,"Connects surplus food from food service establishments and other sources to families in the Blaine community that can use the food. Packages the food into individual and family-sized portions, and packs into boxes for each registered participant. Limited delivery is available for those not able to pick up the food themselves. Types and quantities of foods available will vary from week to week.",None.,,No restrictions.,Call or email to register. Include name and phone number.
4962,9200,"[{""Contact_Id"":807}]",2022/03/22,"[""Active""]",Clothing,"Provides free clothing for all ages, as well as bedding, towels, and other linens.",None.,,None.,Walk-in.
4967,4111,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]",End of Life Care,"Whatcom Hospice offers medical, psycho-social, spiritual, and personal care to people and their families who are facing a life threatening illness. Hospice nurses, social workers, home health aides, chaplains, and volunteers provide in home services and support as needed.","Services are reimbursable by medicare, medicaid, and private insurance benefits. The Whatcom Hospice Foundation covers the costs for services to people who have no hospice benefits.",,"Whatcom resident in terminal phase of illness. Family, patient, and physician must agree to services. Medical criteria must be available at the time of referral.",Those needing services should contact Whatcom Hospice.
4967,8428,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]",Grief Support Group,"Grief Support - Free, ongoing drop-in grief support groups for anyone in the community who has recently experienced the death of a loved one. Come join others in a caring supportive setting with a trained bereavement specialist.  Grief Relief for Women - A free, once a week for 6 weeks grief support group for 6-8 women who are at least six months out from their most recent loss, and wish to understand their grief journey and discover new pathways.",Services are provided without charge.,,Anyone experiencing grief due to the recent death of a loved one.,Those needing services should contact Whatcom Hospice.
4967,10605,"[{""Contact_Id"":1957}]",2021/09/08,"[""Active""]",Fundraising,"An independent, charitable organization established solely to help support and enhance hospice services in the community. The WHF exists to solicit, acquire, and administer charitable contributions on behalf of Whatcom Hospice. The WHF is governed by a voluntary Board of Directors comprised of local business and community leaders.","Donations can be made as memorial/honor gifts, annual gifts, property gifts, or planned gifts.",,Everyone is welcome to contribute.,Those needing services should contact Whatcom Hospice.
4968,133,"[{""Contact_Id"":2053}]",2022/05/27,"[""Active""]",Senior Center,"Serving the Blaine community as a meeting place that promotes activities for local seniors. Four meeting rooms can accommodate from 10-150 people. Tables, chairs, stage, kitchen, piano, and a public address system are available for use. The space is available for weddings, memorials, dances, seminars, and meetings during hours that Center is not open for seniors.",Dues are $45 a year.  Small fee for some classes.,,Must be at least 50 years of age.,"Call, visit in person or website."
4973,263,"[{""Contact_Id"":2862}]",2021/09/08,"[""Active""]","Parks, Trails, and Camping","Oversees parks, trails, picnic shelter rentals, campsites/campgrounds, a rifle range, and facility rentals.",Some facilities have use fees.  Come by or call to register for a program.,,Residents and visitors to Whatcom County.,Can request a picnic shelter or other day use facility online. Campsites and cabins are reserved online. Call for further information.
4976,4287,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Food Worker Card,"Provides information about the Washington State Food Worker Card. All food workers who serve unpackaged food or beverages must have a valid Washington State Food Worker Card. Food worker cards issued by another state are not valid in Washington. Washington State Food Worker Cards are valid anywhere in Washington. If getting a Food Worker Card for the first time, it is valid for 2 years. Renewed cards are valid for 3 years if renewed before your card expires (60 days or less before it expires).Training course and test are offered in Cambodian, Cantonese, Closed caption, English, Korean, Mandarin, Russian, Spanish, and Vietnamese.",Pay the $10 fee online by credit or debit card.,,All food workers who serve unpackaged food or beverages must have a valid Washington State Food Worker Card.,"To get a card, take the online food safety training course and pass the online test."
4976,4871,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Environmental Health Services,"Protects the public from environmental hazards through food service inspections and food worker training, and food borne illness investigations. Regulates the sewage system, shellfish safety, water quality, and waste disposal. Provides information about home health hazards and wildfire smoke.",None.,,Residents of Whatcom County,Call for more information.
4976,5122,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Veterans Program,"Helps Whatcom County veterans and their families access local, state, and federal benefits and services. Links veterans to health care, mental health care, social services, employment services and more.May provide temporary financial assistance for basic needs like rent, mortgage, or utility payments.",None.,,Whatcom County veterans.,Call or visit in person
4976,5322,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Vital Records,Issues certified copies of births statewide from 1937 to present. Issues certified copies of deaths that occurred in Whatcom County.,$25 per certified copy.,"For a certified copy, provide documents that show proof of your identity and relationship.",Only people with specific relationships to the person on the birth or death record can receive a certified copy of a birth or death certificate. Anyone can order non-certified copies of birth and death records. Non-certified copies cannot be used for legal purposes.,Call for additional information.
4976,5507,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Nurse-Family Partnership,Connects women having their first baby with a personal nurse who visits with them during pregnancy and until the baby turns 2. Nurses generally meet mothers about every two weeks. Visits can be at home or in other places. Meeting times are flexible.Provides support with-  Having a healthy pregnancy and healthy baby.-  Becoming a prepared and confident parent.-  Building a network of supporting-  Connecting to resources-  Completing schooling and/or finding work.,None.,,Pregnant with first child.28 weeks or earlier in pregnancy.Qualifies for WIC or Apple HealthResident of Whatcom County.,Call for more information or an in person intake appointment.
4976,11053,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Developmental Disabilities Program,"Contracts with agencies in the community to provide services for residents of Whatcom County with developmental disabilities and their families. Child Development Services: Supports infants and toddlers with disabilities and delays and their families to maximize and enhance their child’s development. Services are provided in home and community settings. School to Work program: Connects students with adult supported employment providers while they are still in school to assist students to explore and obtain gainful employment and ensure a timely and effective transition from school to work and adult life. Supported Employment Services: Help adults with developmental disabilities to find and keep a job, regardless of their disability. Community Inclusion: Supports adults with developmental disabilities to engage in community-based activities that support socialization, education, recreation and personal development.",None if qualified for services.,,Whatcom County residents with developmental disabilities.,Call for more information. Some programs need a referral from a DDA case manager.
4976,12244,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Syringe Services Program,"Offers the confidential exchange of new, sterile syringes and clean injection equipment in exchange for contaminated syringes. Provides on-site STD, hepatitis C, and HIV testing. Nurses work with volunteers and staff from local treatment agencies to meet individuals where they are, providing access to counseling, testing, medical care, and referrals to substance use treatment or housing services.Operates a mobile clinic in Maple Falls. This mobile clinic provides syringe services every Monday (except holidays) at the East Whatcom Regional Resource Center (8251 Kendall Rd., Maple Falls, WA) from 10:30 a.m. to noon in the parking lot.",None.,,"Those ages 14 and older who do not have health insurance, a primary care physician, or have barriers to accessing health care.",Call for more information.
4976,13165,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Immunization Information,Provides information about adult and childhood vaccines and where to get vaccinated in Whatcom County.,Cost varies by provider.,,Residents of Whatcom County,Call or visit website.
4976,16842,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",Coronavirus Information,"Provides information pertaining to coronavirus/COVID-19 including fact sheets, FAQs, and general information.  If you are experiencing potential symptoms of coronavirus, contact your medical provider first. Whatcom County Health Department continuously prepares for and is trained to respond to public health threats just like this one. We work closely with the CDC, Washington State Department of Health, our colleagues in other local health departments, and our local health care providers so that we can identify and respond to any infections as quickly as possible.",None.,,Anyone interested in learning more about coronavirus/COVID-19.,Visit website for more information.
4976,19019,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",COVID-19 Drive Thru Testing,Drive-through testing available through mobile testing program.,None.,,Anyone.,"Testing is available by appointment only. To schedule an appointment, visit website or call."
4976,19393,"[{""Contact_Id"":3989}]",2021/09/08,"[""Active""]",COVID-19 Vaccine Information,Provides information for the current vaccination administration status.,None.,,The COVID-19 vaccine is available to people 5 years and older.,Visit website.
4977,6216,"[{""Contact_Id"":4259}]",2021/08/18,"[""Active""]",Low Income Housing,"Provides needed housing in the community to low-Income families, elderly, people with disabilities and working families in need of housing.  ",Call for information.,,Call for information.,Call or visit website.
4982,581,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Superior Court,The superior court handles misdemeanor cases punishable by a fine with a maximum level (usually $1000) and maximum amount of time in county jail (usually a year or less). They also address felony charges.,Varies.,,Call for more information.,Call for more information.
4982,4276,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Court Services for Teens,"Teen Court is a diversion program, with the goal of offering youth an alternative to juvenile detention. This program offers all participants the unique opportunity to learn about the consequences of criminal behavior and how it affects their community. This program overseen by Northwest Youth Services and is accessed through referrals by the Prosecutor's Office.  Teen Court hears cases involving youth who are facing a second discretionary diversion or who failed a traditional diversion contract. The offenses involved are misdemeanors, and do not include offenses involving weapons, domestic violence or gang activity. The offender admits to the offense and then goes before a jury of high school students charged with determining the penalties to be assessed.",Call for more information.,,Must be referred by Whatcom County Prosecutor's Office.,Call for more information.
4982,6506,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",District Court,"Hears misdemeanor criminal cases, civil cases where damages amount to less than $100,000, small claims, traffic cases, and requests for domestic violence protection orders.",Varies.,,Call for more information.,Call for more information.
4982,9320,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Bellingham Municipal Court,Hears criminal misdemeanor cases and traffic cases involving municipal ordinances.,Varies.,,Call for more information.,Call for more information.
4982,11030,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Blaine Municipal Court and City Hall,Processes both traffic and criminal misdemeanor citations where the violation has occurred within the Municipality of Blaine.,Varies.,,Call for more information.,Call for more information.
4982,12227,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Everson/Nooksack Municipal Court,Processes both traffic and criminal misdemeanor citations where the violation occurred within the City limits of Everson or Nooksack.,Varies.,,Call for more information.,Call for more information.
4982,13146,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Ferndale Municipal Court,"Presides over non-traffic infractions, traffic infractions, criminal misdemeanors and gross misdemeanors.",Varies.,,Call for more information.,Call for more information.
4982,13856,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Lynden Municipal Court,"Hears criminal misdemeanors, gross misdemeanors, traffic infractions, and non-traffic infractions.",Case specific.,,Call for more information.,Call for more information.
4982,14417,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Sumas Municipal Court,Hears criminal misdemeanor cases and traffic cases involving municipal ordinances.,Varies.,,Call for more information.,Call for more information.
4982,14894,"[{""Contact_Id"":875}]",2021/09/02,"[""Active""]",Juvenile Court Services,"A division of Whatcom County Superior Court, the court has jurisdiction over all cases that involve juveniles under the age of 18, and process non-offender cases such as truancy, at-risk youth, and child in need of services.",Varies.,,Call for more information.,Call for more information.
4983,264,"[{""Contact_Id"":910}]",2022/01/05,"[""Active""]",Law Enforcement,"The Whatcom County Sheriff's Office provides law enforcement, service of civil papers, and incarceration of all prisoners for Whatcom County.",None.,,None.,Call.
4983,6298,"[{""Contact_Id"":910}]",2022/01/05,"[""Active""]",Search and Rescue,"The Whatcom County Sheriff's Department is the responsible agency for search and rescue missions in Whatcom County. Department personnel determine which services are necessary and call in assistance from Bellingham Mountain Rescue, Whatcom County 4X4, Explorer Scouts Search and Rescue, RACES amateur radio, the Dive Team, and the Civil Air Patrol as needed. All participating groups are part of the Whatcom County Search and Rescue Council.",None.,,None.,Call.
4983,9188,"[{""Contact_Id"":910}]",2022/01/05,"[""Active""]",Division of Emergency Management,"Emergency Management means the preparation for and the carrying out of all emergency functions, to mitigate, prepare for, respond to, and recover from emergencies and disasters, and to aid victims suffering from injury or damage, resulting from disasters caused by all hazards, whether natural or man-made, and to provide support for search and rescue operations for persons and property in distress.",None.,,Call for more information.,Call for more information.
4983,10932,"[{""Contact_Id"":910}]",2022/01/05,"[""Active""]",Non-Emergency Line,Non-emergency line to Whatcom County Sheriff's Office.,None.,,None.,Call.
4984,125,"[{""Contact_Id"":1192}]",2022/04/18,"[""Active""]",Housing and Case Management for Homeless Households,"Permanent Supportive Housing Pairs permanent, income-based rental subsidies with long-term case management to create a comprehensively supportive housing program. Case management is required for the length of time that the client is their unit. Provides 70 designated PSH apartment units for families with children, in partnership with the Bellingham Housing Authority.Emergency Hotel Stays Offers emergency motel stays to vulnerable families with young children. This is an expensive option for emergency shelter, but it has been necessary as there is not enough emergency shelter for families currently available in Whatcom County.",Vary.,,"Clients must be homeless, at or below state poverty level, and must qualify for services through the Community Resource Center at Opportunity Council.",Complete a Coordinated Entry intake at Opportunity Council to be placed in the housing interest pool.
4984,20054,"[{""Contact_Id"":1192}]",2022/04/18,"[""Active""]",Parents as Teachers,Offers a parenting program where certified parent educators visit families families in their homes a minimum of twice monthly to support them in developing the skills and confidence needed as parents. Provides developmental screening and equips families with activities and knowledge to understand and optimize child development. Services can continue through kindergarten.,None.,,"Parents of children, prenatal to age 4.",Call for more information or fill out contact form on website.
4985,4110,"[{""Contact_Id"":1305}]",2022/02/18,"[""Active""]",Veterans Services,"File claims on behalf of veterans (all conflicts and eras) with the U.S. Department of Veterans Affairs and see them through until resolution;  A resource and referral point to veterans and their families for housing and other social services; Provide a link between veterans and the VA Medical Centers for appointments, information and transportation;  A source for acquiring your military records, awards and decorations;  A community advocate for veterans and primary administrator of the Whatcom County Veterans Assistance Fund since 1990;  Liaison between the veteran and the Washington Department of Veterans Affairs;  Provide free Whatcom Transit Authority bus passes and tokens for veterans and their families in need;  Provide scholarships for veterans through Bellingham Technical College Foundation.",Lifetime Membership is $100.,,"Members must have United States military service during the Vietnam Era: February 28, 1961 - 1975.",Call for application process.
4986,3080,"[{""Contact_Id"":1684}]",2022/03/30,"[""Active""]",Food Support,"Provides food on an emergency basis and can be used once a week. Volunteers help to distribute food and to pick up food at the Food Lifeline, the Bellingham Food Bank, and Northwest Harvest in Seattle.Offers home delivery for residents who need food but are unable to visit the site.",None.,Individuals receiving food from the food bank must show proof of residence.,"Anyone living in Blaine, Custer, Birch Bay, or Semiahmoo.",Call or visit in person.
4988,4777,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Parenting Academy,Offers virtual parent coaching and seminars. The 60-minute seminars focus on a range of topics for parents and provide tips for everyday parenting. Limit of 12 participants per seminar.,One-hour seminars are $10. One-on-one coaching sessions range from $20 to $90 per sessions.,,Parents with children 0-18 years old.,Register online.
4988,8172,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Familia Latina,"Bi-lingual, bi-cultural staff provide support and information for Spanish speaking families in times of crisis. Offers relationship and parenting skills classes in Spanish.",None.,,Families with children who could benefit from extra support.,Call.
4988,10434,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Kinship Caregiver Support Program,"Helps bring stability and security to children who have recently been placed in the care of a caregiver related through blood or marriage, other than the child's parent, also known as kinship caregivers.Provides emergency funding to kinship caregivers who are raising children who are not their own because the biological parent is unable or unwilling to serve as the primary caregiver. Funds can be used to purchase:-  Food-  Clothing-  Other household items related to the care of the child(ren) such as hygiene products, diapers, or furniture.-  School activity fees-  Transportation fees/repairs-  Rent-  Utilities-  Legal fees-  And other expenses to assist relatives in their role as primary caregivers.",None.,,Caregiver of a child related by blood or marriage who is not the child's parent living in Skagit County.,Call.
4988,12883,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Parents as Teachers,"Offers a home visiting program focused on providing parent education, family support and developmental activities. Fosters strong, loving relationships between parents and their children, provides opportunities to connect with other parents and prepares children for kindergarten.",None.,,Serving families with children ages birth to 5.,Call or visit in person.
4988,13661,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Parent Child Assistance Program,"Provides supportive case management, therapeutic parenting education and support, child development assessments and referrals to pregnant and newly parenting women in recovery from substance abuse.",None.,,"Clients must be 18 years of age or older, pregnant and/or parenting a child up to 2 years of age, residing in Whatcom or Skagit counties, and at or below 200% of the federal poverty level.",Call.
4988,14252,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Foster Parent Support Groups,"Offers support groups for those interested in relative care, foster care and/or adoption. Also offers groups for foster, adoptive and relative caregivers.",None.,,Services provided for families with foster or adopted children.,"Contact the group's facilitator before attending, as dates and locations are subject to change."
4988,14754,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Children's Advocacy Center,"Offers child sexual abuse prevention and treatment in a child-friendly, safe environment that promotes healing for children who have been abused. Provides support and group therapy for parents or caregivers of abused children as well as the children themselves. Refers to additional community resources.Center is nationally accredited.",None.,,Child victims of sexual abuse and their non-offending family members.,Call.
4988,15171,"[{""Contact_Id"":2025}]",2021/08/24,"[""Active""]",Parent Child Interaction Therapy,Offers an intensive treatment program that works with parents and children together to improve the quality of the parent-child relationship and to teach parents the skills necessary to manage their child's severe behavior problems.,None.,,Children between the ages of 2 and 7 who exhibit many behavioral concerns.,Call.
4989,6229,"[{""Contact_Id"":2299}]",2021/09/07,"[""Active""]",Animal Control and Rescue,"Officers investigate reports of animal cruelty and neglect, provides animal rescue to any animal in need, pick-up strays, injured or dead animals and enforce laws that protect animals and people.",None.,,None.,None.
