Agency_Id,Service_Id,ServiceContact_ServiceContact,ServiceSystem_DateOfLastCompleteUpdate,ServiceOption_Status,ServiceOption_WebsiteVisibility,ServiceAccount_ServiceAccount_Both,ServiceAccount_ServiceAccount,ServiceOption_CallCenterList,ServiceSystem_Name,ServiceCustom_Wa211serviceAffectedByCovid19,ServiceCustom_WaPhoneworkerNote,ServiceSystem_Description,ServiceSystem_PhoneMain,ServiceCustom_Phone1Ext,ServiceCustom_Phone1Description,ServiceSystem_EmailAddress,ServiceSystem_Websiteurl,ServiceProgram_ServiceProgram_Both,ServiceProgram_ServiceProgram,ServiceSite_ServiceSite_Both,ServiceSite_ServiceSite,ServiceHoursofoperation_ModuleHoursofoperation,ServiceOption_DaysOfTheWeek,ServiceOption_HoursOfService,ServiceCustom_Wa211viewHoursStyle,ServiceSystem_HoursOfOperation,ServiceTaxonomy_ModuleServicepost,ServiceGeotagus_ServiceGeotagus,ServiceCustom_ServiceAka,ServiceCustom_Wa211HoursStyleGuide,ServiceCustom_Wa211HoursStyle,ServiceOption_FocusPopulations,ServiceOption_AgeGroups,ServiceOption_DisabilitiesHealthConditions
5945,4295,"[{""Contact_Id"":1810}]",2021/08/31,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Housing Help offered by Habitat for Humanity in Whatcom County,,,Volunteers build houses for low-income families who have been chosen based on need and the ability to make mortgage payments.  Selected families must contribute 500 hours of sweat equity on the construction of the house. Provides help with home repairs if the homeowner can also contribute sweat equity hours.,360-715-9170,,,,https://www.hfhwhatcom.org,"[{""Program_Id"":9358,""Name"":""Housing Help""}]","[{""Program_Id"":9358}]","[{""Site_Id"":764,""Name"":""Habitat for Humanity in Whatcom County""}]","[{""Site_Id"":764}]","{""open"":{""Monday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-4pm.","[{""taxonomy_code"":""PH-3300.2750-250""},{""taxonomy_code"":""BH-7000.8100-800""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Habitat for Humanity in Whatcom County, Habitat for Humanities (Whatcom County), Habitat for Humanities (Whatcom), Habitat for Humanities International (Whatcom County), Habitat for Humanities International (Whatcom), Habitat for Humanity (Whatcom County), Habitat for Humanity (Whatcom), Habitat for Humanity International (Whatcom County), Habitat for Humanity International (Whatcom), Whatcom County Habitat for Humanities International, Whatcom County Habitat for Humanity International, Whatcom Habitat for Humanities International, Whatcom Habitat for Humanity International, Financial Assistance - Home Construction/Low-Income, (Habitat for Humanity - Whatcom County)",,,,,
5945,4296,"[{""Contact_Id"":1810}]",2021/08/31,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Volunteer Opportunities offered at Habitat for Humanity in Whatcom County,,,"Coordinates volunteers to assist families in building homes. Volunteers work under the guidance of construction professionals, and alongside other volunteers and future Habitat homeowners.",360-715-9170,1016,Volunteer Coordinator,volunteer@hfhwhatcom.org,https://www.hfhwhatcom.org/get-involved/volunteer,"[{""Program_Id"":6569,""Name"":""Volunteer Opportunities""}]","[{""Program_Id"":6569}]","[{""Site_Id"":764,""Name"":""Habitat for Humanity in Whatcom County""}]","[{""Site_Id"":764}]","{""open"":{""Monday"":[[[9,0],[16,0]]],""Tuesday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[16,0]]]},""closed"":[]}","[""Friday"",""Thursday"",""Wednesday"",""Tuesday"",""Monday""]",,,"M-F, 9am-4pm.","[{""taxonomy_code"":""PX-1700""}]","[{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","Habitat for Humanity in Whatcom County, Habitat for Humanities (Whatcom County), Habitat for Humanities (Whatcom), Habitat for Humanities International (Whatcom County), Habitat for Humanities International (Whatcom), Habitat for Humanity (Whatcom County), Habitat for Humanity (Whatcom), Habitat for Humanity International (Whatcom County), Habitat for Humanity International (Whatcom), Whatcom County Habitat for Humanities International, Whatcom County Habitat for Humanity International, Whatcom Habitat for Humanities International, Whatcom Habitat for Humanity International, Volunteer Opportunities, (Habitat for Humanity - Whatcom County)",,,,,
5973,13140,"[{""Contact_Id"":2266}]",2022/06/15,"[""Active""]","[""Show Service""]","[{""Account_Id"":96,""Name"":""Carrie Sanchez <csanchez@voaww.org>""}]","[{""Account_Id"":96}]","[""NS211""]",Building Materials Salvage and Re-Sell offered at RE Store - Bellingham,,,Saves homeowners and contractors money on disposal costs and provides high quality building materials at affordable prices to the general public.,360-647-5921,,,bham@re-store.org,http://www.re-store.org,"[{""Program_Id"":3323,""Name"":""Building Materials Salvage and Re-Sell""}]","[{""Program_Id"":3323}]","[{""Site_Id"":3713,""Name"":""RE Store - Bellingham""}]","[{""Site_Id"":3713}]","{""open"":{""Tuesday"":[[[11,0],[18,0]]],""Wednesday"":[[[11,0],[18,0]]],""Thursday"":[[[11,0],[18,0]]],""Friday"":[[[11,0],[18,0]]],""Saturday"":[[[11,0],[18,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Saturday"",""Friday""]",,,"Tu-Sa, 11am-6pm; Drop-offs accepted until one hour before closing.","[{""taxonomy_code"":""TI-1800.1000""},{""taxonomy_code"":""TE-1000.0900""},{""taxonomy_code"":""BH-3000.4600""}]","[{""scope"":""county"",""county"":""Island"",""state"":""WA""},{""scope"":""county"",""county"":""Skagit"",""state"":""WA""},{""scope"":""county"",""county"":""Snohomish"",""state"":""WA""},{""scope"":""county"",""county"":""Whatcom"",""state"":""WA""}]","RE Store, RE-Store, REStore, Building Materials Salvage and Re-Sell, RE Store - Bellingham",,,,,
5984,190,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in King South,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":9905,""Name"":""DSHS Community Services Office in King South""}]","[{""Site_Id"":9905}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS Community Services Office in King South,,,,"[""Older Adults (65+)""]","[""General Addictions\/Dependencies""]"
5984,191,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington Basic Food Program offered by DSHS Community Services Office in King South,In-person services closed except for EBT applications and emergency support services. Please call Customer Service Contact Center at 877-501-2233 or visit washingtonconnection.org,,"Supplements the income of Washington state residents, including legal immigrants, by providing food benefits. Monthly benefit amounts vary based on the number of people in the household, income and living expenses. Issues vouchers to replace food lost during major disasters.",877-501-2233,,,,https://www.washingtonconnection.org/,"[{""Program_Id"":12400,""Name"":""Washington Basic Food Program""}]","[{""Program_Id"":12400}]","[{""Site_Id"":9905,""Name"":""DSHS Community Services Office in King South""}]","[{""Site_Id"":9905}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""TH-2600.6450-170""},{""taxonomy_code"":""NL-6000.2000-200""},{""taxonomy_code"":""NL-6000.2000-220""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington Basic Food Program offered by DSHS Community Services Office in King South,,,,,
5984,192,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in King South,"Community Services Offices open to full on-demand, in-person services.",,"Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service. Must have a plan with Assurance, Access, Q Link, Safelink or TerraCom. Must pick up PIN at a CSO.",877-501-2233,,,askdshs@dshs.wa.gov,http://www.dshs.wa.gov,"[{""Program_Id"":8640,""Name"":""Additional Lifeline Phone Minutes""}]","[{""Program_Id"":8640}]","[{""Site_Id"":9905,""Name"":""DSHS Community Services Office in King South""}]","[{""Site_Id"":9905}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BV-8900.1700-850""},{""taxonomy_code"":""BV-8900.9300-850""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in King South,,,,,
5984,193,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington State ID Card Assistance offered by DSHS Community Services Office in King South,"Community Services Offices open to full on-demand, in-person services.",,Assists recipients of DSHS public assistance with obtaining a Washington State ID card at a reduced cost from the Department of Licensing. Case workers at DSHS will fill out a form clients can take to DOL and get a card for $5.,877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/office-locations,"[{""Program_Id"":5957,""Name"":""Washington State ID Card Assistance""}]","[{""Program_Id"":5957}]","[{""Site_Id"":9905,""Name"":""DSHS Community Services Office in King South""}]","[{""Site_Id"":9905}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm","[{""taxonomy_code"":""DF-7020.3300""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington State ID Card Assistance offered by DSHS Community Services Office in King South,,,,,
5984,195,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Financial Assistance offered by DSHS Community Services Office in King South,"Community Services Offices open to full on-demand, in-person services.",,"Provides financial assistance programs to low-income families, immigrants and refugees, pregnant women, and people who are aged, blind or disabled. Programs include TANF/WorkFirst, AREN, Diversion Cash Assistance, Refugee Cash Assistance and ABD.",877-501-2233,,,,https://www.washingtonconnection.org,"[{""Program_Id"":2130,""Name"":""Financial Assistance""}]","[{""Program_Id"":2130}]","[{""Site_Id"":9905,""Name"":""DSHS Community Services Office in King South""}]","[{""Site_Id"":9905}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""PH-1000""},{""taxonomy_code"":""NS-1800.8100-820""},{""taxonomy_code"":""NS-1800.8100-800""},{""taxonomy_code"":""NL-1000.8500-850""},{""taxonomy_code"":""NL-1000.8500-830""},{""taxonomy_code"":""NL-1000.7000""},{""taxonomy_code"":""NL-1000.2400-150""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-800""},{""taxonomy_code"":""BV-8900.9300-300""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Financial Assistance offered by DSHS Community Services Office in King SouthTemporary Assistance for Needy Families TANF WorkFirstAged Blind and Disabled ABDPregnant Women's AssistanceDiversion Cash AssistanceRefugee Cash AssistanceState Family AssistanceAdditional Requirements for Emergent Needs AREN,,,"[""Immigrant"",""Pregnant Women""]",,"[""General Disabilities""]"
5984,600,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in King North,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":9680,""Name"":""DSHS Community Services Office in King North""}]","[{""Site_Id"":9680}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS at Community Services Office in King North,,,,"[""Older Adults (65+)""]","[""General Disabilities""]"
5984,601,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington Basic Food Program offered by DSHS Community Services Office in King North,"Community Services Offices open to full on-demand, in-person services.",,"Supplements the income of Washington state residents, including legal immigrants, by providing food benefits. Monthly benefit amounts vary based on the number of people in the household, income and living expenses. Issues vouchers to replace food lost during major disasters.",877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/esa/community-services-offices/basic-food,"[{""Program_Id"":12400,""Name"":""Washington Basic Food Program""}]","[{""Program_Id"":12400}]","[{""Site_Id"":9680,""Name"":""DSHS Community Services Office in King North""}]","[{""Site_Id"":9680}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""TH-2600.6450-170""},{""taxonomy_code"":""NL-6000.2000-200""},{""taxonomy_code"":""NL-6000.2000-220""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington Basic Food Program offered by DSHS Community Services Office in King North,,,,,
5984,602,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in King North,"Community Services Offices open to full on-demand, in-person services.",,"Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service. Must have a plan with Assurance, Access, Q Link, Safelink or TerraCom. Must pick up PIN at a CSO.",877-501-2233,,,,http://www.dshs.wa.gov,"[{""Program_Id"":8640,""Name"":""Additional Lifeline Phone Minutes""}]","[{""Program_Id"":8640}]","[{""Site_Id"":9680,""Name"":""DSHS Community Services Office in King North""}]","[{""Site_Id"":9680}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BV-8900.1700-850""},{""taxonomy_code"":""BV-8900.9300-850""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office at King North,,,,,
5984,603,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington State ID Card Assistance offered by DSHS Community Services Office in King North,"Community Services Offices open to full on-demand, in-person services.",,Assists recipients of DSHS public assistance with obtaining a Washington State ID card at a reduced cost from the Department of Licensing. Case workers at DSHS will fill out a form clients can take to DOL and get a card for $5.,877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/office-locations,"[{""Program_Id"":5957,""Name"":""Washington State ID Card Assistance""}]","[{""Program_Id"":5957}]","[{""Site_Id"":9680,""Name"":""DSHS Community Services Office in King North""}]","[{""Site_Id"":9680}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm","[{""taxonomy_code"":""DF-7020.3300""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington State ID Card Assistance offered by DSHS Community Services Office in King North,,,,,
5984,605,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Financial Assistance offered by DSHS Community Services Office in King North,"Community Services Offices open to full on-demand, in-person services.",,"Provides financial assistance programs to low-income families, immigrants and refugees, pregnant women, and people who are aged, blind or disabled. Programs include TANF/WorkFirst, AREN, Diversion Cash Assistance, Refugee Cash Assistance and ABD.",877-501-2233,,,,https://www.washingtonconnection.org,"[{""Program_Id"":2130,""Name"":""Financial Assistance""}]","[{""Program_Id"":2130}]","[{""Site_Id"":9680,""Name"":""DSHS Community Services Office in King North""}]","[{""Site_Id"":9680}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""PH-1000""},{""taxonomy_code"":""NS-1800.8100-820""},{""taxonomy_code"":""NS-1800.8100-800""},{""taxonomy_code"":""NL-1000.8500-850""},{""taxonomy_code"":""NL-1000.8500-830""},{""taxonomy_code"":""NL-1000.7000""},{""taxonomy_code"":""NL-1000.2400-150""},{""taxonomy_code"":""BV-8900.9300-950""},{""taxonomy_code"":""BV-8900.9300-800""},{""taxonomy_code"":""BV-8900.9300-300""},{""taxonomy_code"":""BV-8900.9300-250""},{""taxonomy_code"":""BV-8900.9300-180""},{""taxonomy_code"":""BH-3800.7250""},{""taxonomy_code"":""BH-3800.7000""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Financial Assistance offered by DSHS Community Services Office in King NorthTemporary Assistance for Needy Families TANF WorkFirstAged Blind and Disabled ABDPregnant Women's AssistanceDiversion Cash AssistanceRefugee Cash AssistanceState Family AssistanceAdditional Requirements for Emergent Needs AREN,,,"[""Immigrant"",""Pregnant Women""]",,"[""General Disabilities""]"
5984,1061,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Medicare Savings offered by DSHS Community Services Office in King Eastside,"Community Services Offices open to full on-demand, in-person services.",,Helps low-income Medicare recipients pay for their Medicare Part A and Part B premiums. DSHS pays the co-pays and deductible as well for very low income Medicare beneficiaries.,877-501-2233,,,,https://www.dshs.wa.gov/esa/community-services-offices/medicare-savings-program,"[{""Program_Id"":14958,""Name"":""Medicare Savings""}]","[{""Program_Id"":14958}]","[{""Site_Id"":9416,""Name"":""DSHS Community Services Office in King Eastside""}]","[{""Site_Id"":9416}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""LH-5100.3000""},{""taxonomy_code"":""NL-5000.5000-700""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Medicare Savings offered by DSHS Community Services Office in King EastsideQualified Medicare Beneficiary ProgramSpecified Low-Income Medicare BeneficiaryQualified Individual ProgramQualified Disabled Working Individual Program,,,,"[""Older Adults (65+)""]","[""General Disabilities""]"
5984,1062,"[{""Contact_Id"":752}]",2021/07/09,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington Basic Food Program offered by DSHS Community Services Office in King Eastside,"Community Services Offices open to full on-demand, in-person services.",,"Supplements the income of Washington state residents, including legal immigrants, by providing food benefits. Monthly benefit amounts vary based on the number of people in the household, income and living expenses. Issues vouchers to replace food lost during major disasters.",877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/esa/community-services-offices/basic-food,"[{""Program_Id"":12400,""Name"":""Washington Basic Food Program""}]","[{""Program_Id"":12400}]","[{""Site_Id"":9416,""Name"":""DSHS Community Services Office in King Eastside""}]","[{""Site_Id"":9416}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm.","[{""taxonomy_code"":""TH-2600.6450-170""},{""taxonomy_code"":""NL-6000.2000-200""},{""taxonomy_code"":""NL-6000.2000-220""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington Basic Food Program offered by DSHS Community Services Office in King Eastside,,,,,
5984,1063,"[{""Contact_Id"":752}]",2021/07/08,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office in King Eastside,"Community Services Offices open to full on-demand, in-person services.",,"Partners with Lifeline mobile phone service providers to help program recipients continue their existing Lifeline mobile phone service. Must have a plan with Assurance, Access, Q Link, Safelink or TerraCom. Must pick up PIN at a CSO.",877-501-2233,,,,http://www.dshs.wa.gov,"[{""Program_Id"":8640,""Name"":""Additional Lifeline Phone Minutes""}]","[{""Program_Id"":8640}]","[{""Site_Id"":9416,""Name"":""DSHS Community Services Office in King Eastside""}]","[{""Site_Id"":9416}]","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-4pm.","[{""taxonomy_code"":""BV-8900.1700-850""},{""taxonomy_code"":""BV-8900.9300-850""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Additional Lifeline Phone Minutes offered by DSHS Community Services Office at King Eastside,,,,,
5984,1064,"[{""Contact_Id"":752}]",2021/07/22,"[""Active""]","[""Show Service""]","[{""Account_Id"":22,""Name"":""Hannah Newton <hnewton@crisisconnections.org>""}]","[{""Account_Id"":22}]","[""KC211""]",Washington State ID Card Assistance offered by DSHS Community Services Office in King Eastside,"Community Services Offices open to full on-demand, in-person services.",,Assists recipients of DSHS public assistance with obtaining a Washington State ID card at a reduced cost from the Department of Licensing. Case workers at DSHS will fill out a form clients can take to DOL and get a card for $5.,877-501-2233,,,askdshs@dshs.wa.gov,https://www.dshs.wa.gov/office-locations,"[{""Program_Id"":5957,""Name"":""Washington State ID Card Assistance""}]","[{""Program_Id"":5957}]","[{""Site_Id"":9416,""Name"":""DSHS Community Services Office in King Eastside""}]","[{""Site_Id"":9416}]","{""open"":{""Monday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Friday"":[[[8,0],[17,0]]]},""closed"":[]}","[""Wednesday"",""Tuesday"",""Thursday"",""Monday"",""Friday""]",,,"M-F, 8am-5pm. Hours for application eligibility interviews are 8am-3pm","[{""taxonomy_code"":""DF-7020.3300""}]","[{""scope"":""county"",""county"":""King"",""state"":""WA""}]",Washington State ID Card Assistance offered by DSHS Community Services Office in King Eastside,,,,,
